cert,name,state,city,method,pe_date,overall,assets_k,inv,svc,file_id,svc_gap,in_old_universe,branches_topneed,exposure,n_topneed_counties,top_county
1617,The Bank of Missouri,MO,PERRYVILLE,Large Bank Evaluation,04/01/2025,Satisfactory,2963315.0,Low Satisfactory,High Satisfactory,2024/1617_240715.PDF,False,True,5,15014,2,"St. Louis, MO"
26962,Wilson Bank and Trust,TN,LEBANON,Large Bank Evaluation,03/01/2026,Satisfactory,5630161.0,High Satisfactory,High Satisfactory,2025/26962_250908.PDF,False,False,4,14947,1,"Davidson, TN"
22451,Volunteer Bank,TN,NASHVILLE,Intermediate Small Bank Evaluation,04/01/2025,Satisfactory,1597861.0,,,2024/22451_241104.PDF,False,False,4,14947,1,"Davidson, TN"
59112,Studio Bank,TN,NASHVILLE,Intermediate Small Bank Evaluation,11/01/2023,Satisfactory,843458.0,,,2023/59112_230605.PDF,False,False,1,14947,1,"Davidson, TN"
34936,Legends Bank,TN,CLARKSVILLE,Intermediate Small Bank Evaluation,06/01/2023,Satisfactory,829056.0,,,2022/34936_221110.PDF,False,False,1,14947,1,"Davidson, TN"
58796,Parkside Financial Bank & Trust,MO,CLAYTON,Intermediate Small Bank Evaluation,04/01/2026,Satisfactory,1116387.0,,,2025/58796_251209.PDF,False,False,2,14883,2,"St. Louis, MO"
58596,Carter Bank & Trust,VA,MARTINSVILLE,Large Bank Evaluation,05/01/2024,Satisfactory,4446729.0,Low Satisfactory,High Satisfactory,2023/58596_231023.PDF,False,True,4,14560,2,"Wake, NC"
11492,InBank,NM,RATON,Intermediate Small Bank Evaluation,05/01/2025,Satisfactory,1352859.0,,,2024/11492_241202.PDF,False,False,2,14523,2,"Boulder, CO"
12594,The Pueblo Bank and Trust Company,CO,PUEBLO,Intermediate Small Bank Evaluation,07/01/2024,Satisfactory,624971.0,,,2024/12594_240601.PDF,False,False,2,14523,2,"Boulder, CO"
57071,Georgia Banking Company,GA,ATLANTA,Strategic Plan Evaluation,03/01/2024,Satisfactory,1580422.0,,,2023/57071_231030.PDF,False,False,3,14060,2,"Gwinnett, GA"
17478,FirsTier Bank,NE,KIMBALL,Intermediate Small Bank Evaluation,08/01/2024,Satisfactory,937215.0,,,2024/17478_240318.PDF,False,False,2,14024,2,"Boulder, CO"
