cert,name,state,city,method,pe_date,overall,assets_k,inv,svc,file_id,svc_gap,in_old_universe
28866,Oritani Bank,NJ,TOWNSHIP OF WASHINGTON,Large Bank Evaluation,10/01/2018,Satisfactory,4141471.0,High Satisfactory,Low Satisfactory,2018/28866_180514.PDF,True,False
58816,Royal Business Bank,CA,LOS ANGELES,Large Bank Evaluation,10/01/2023,Satisfactory,4106226.0,High Satisfactory,High Satisfactory,2023/58816_230515.PDF,False,False
15229,First Business Bank,WI,MADISON,Large Bank Evaluation,07/01/2026,Satisfactory,4082035.0,Outstanding,Low Satisfactory,2026/15229_260317.PDF,True,True
35295,Southern First Bank,SC,GREENVILLE,Large Bank Evaluation,05/01/2025,Satisfactory,4056256.0,High Satisfactory,High Satisfactory,2024/35295_240415.PDF,False,False
18983,River City Bank,CA,SACRAMENTO,Large Bank Evaluation,04/01/2023,Satisfactory,4041345.0,Substantial Non Complianc,,2022/18983_221102.PDF,False,False
32779,Bank of Marin,CA,NOVATO,Large Bank Evaluation,06/01/2024,Satisfactory,4036176.0,Low Satisfactory,Low Satisfactory,2023/32779_231106.PDF,True,True
27614,Fulton Bank of New Jersey,NJ,MOUNT LAUREL,Large Bank Evaluation,03/01/2018,Outstanding,4030915.0,Outstanding,Outstanding,2017/27614_170822.PDF,False,False
11971,Bar Harbor Bank & Trust,ME,BAR HARBOR,Large Bank Evaluation,06/01/2025,Satisfactory,4025992.0,High Satisfactory,High Satisfactory,2024/11971_241209.PDF,False,False
33440,Citizens First Bank,FL,THE VILLAGES,Large Bank Evaluation,10/01/2022,Satisfactory,4013943.0,Substantial Non Complianc,,2022/33440_220429.PDF,False,True
8152,Cambridge Trust Company,MA,Cambridge,Large Bank Evaluation,02/01/2021,Satisfactory,3986816.0,High Satisfactory,Outstanding,2020/08152_200720.PDF,False,False
30076,"Spencer Savings Bank, SLA",NJ,ELMWOOD PARK,Large Bank Evaluation,04/01/2026,Outstanding,3982331.0,Outstanding,Outstanding,2025/30076_250915.PDF,False,False
34953,Northpointe Bank,MI,GRAND RAPIDS,Strategic Plan Evaluation,07/01/2023,Satisfactory,3978067.0,,,2023/34953_230306.PDF,False,False
25679,International Bank of Commerce,TX,BROWNSVILLE,Large Bank Evaluation,01/01/2025,Satisfactory,3958855.0,Outstanding,Low Satisfactory,2024/25679_240624.PDF,True,True
14650,Hills Bank and Trust Company,IA,HILLS,Large Bank Evaluation,07/01/2023,Outstanding,3936897.0,Outstanding,Outstanding,2023/14650_230316.PDF,False,False
34788,American Business Bank,CA,LOS ANGELES,Large Bank Evaluation,06/01/2024,Satisfactory,3874161.0,High Satisfactory,High Satisfactory,2024/34788_240129.PDF,False,False
19459,United Community Bank,IL,CHATHAM,Large Bank Evaluation,10/01/2025,Satisfactory,3859236.0,High Satisfactory,High Satisfactory,2025/19459_250324.PDF,False,False
35541,BCB Community Bank,NJ,BAYONNE,Large Bank Evaluation,01/01/2025,Satisfactory,3847694.0,High Satisfactory,Outstanding,2024/35541_240625.PDF,False,False
57417,Commercial Bank of California,CA,IRVINE,Large Bank Evaluation,06/01/2026,Satisfactory,3846280.0,Low Satisfactory,High Satisfactory,2026/57417_260112.PDF,False,True
17323,First State Community Bank,MO,FARMINGTON,Large Bank Evaluation,06/01/2023,Outstanding,3830509.0,Outstanding,Outstanding,2022/17323_221107.PDF,False,False
14028,First Guaranty Bank,LA,HAMMOND,Large Bank Evaluation,07/01/2026,Satisfactory,3794968.0,Low Satisfactory,Low Satisfactory,2026/14028_260127.PDF,True,True
22597,Bank of the Sierra,CA,PORTERVILLE,Large Bank Evaluation,06/01/2026,Outstanding,3706266.0,Outstanding,Outstanding,2025/22597_251208.PDF,False,False
