cert,bank,state,regulator,assets_k,exam_method,inv_rating,svc_rating,pe_date,route,contact,channel,address
17120,First Security Bank,MS,FDIC,976545,Intermediate Small Bank Evaluation,,,02/01/2025,role,CRA Officer,www.firstsecuritybk.com,"295 Highway 6 W, Batesville, MS 38606"
57425,Sanibel Captiva Community Bank,FL,FDIC,976168,Intermediate Small Bank Evaluation,,,01/01/2025,role,CRA Officer,http://www.sancapbank.com,"2406 Periwinkle Way, Sanibel, FL 33957"
10643,Dundee Bank,NE,FDIC,975648,Intermediate Small Bank Evaluation,,,12/01/2024,role,CRA Officer,www.dundeebank.com,"5015 Underwood Ave, Omaha, NE 68132"
19358,Round Top State Bank,TX,FDIC,974057,Intermediate Small Bank Evaluation,,,12/01/2023,role,CRA Officer,www.roundtopstatebank.com,"301 N Washington St, Round Top, TX 78954"
11178,"Transpecos Banks, SSB",TX,FDIC,972067,Intermediate Small Bank Evaluation,,,05/01/2024,role,CRA Officer,www.transpecos.bank,"217 W 3rd St, Pecos, TX 79772"
15990,Watertown Savings Bank,NY,FDIC,970986,Large Bank Evaluation,Low Satisfactory,Outstanding,11/01/2025,role,CRA Officer,www.watersavingsbank.com,"111 Clinton St, Watertown, NY 13601"
4533,Citizens Bank and Trust Company,MO,FDIC,968802,Intermediate Small Bank Evaluation,High Satisfactory,High Satisfactory,12/01/2020,role,CRA Officer,,"7553 Nw Barry Rd, Kansas City, MO 64153"
58827,Oak View National Bank,VA,OCC,966136,Intermediate Small Bank,,,07/07/2025,role,CRA Officer,WWW.OAKVIEWBANK.COM,"340 Waterloo Street, Warrenton, VA 20186"
4779,"Dream First Bank, National Association",KS,OCC,963672,Intermediate Small Bank,,,08/07/2023,role,CRA Officer,www.dreamfirst.bank,"11 N Main St, Syracuse, KS 67878"
31461,Harleysville Bank,PA,FDIC,963589,Intermediate Small Bank Evaluation,,,10/01/2025,role,CRA Officer,www.harleysvillebank.com,"271 Main St, Harleysville, PA 19438"
32203,Summit State Bank,CA,FDIC,959783,Intermediate Small Bank Evaluation,,,07/01/2025,role,CRA Officer,http://www.summitstatebank.com,"500 Bicentennial Way, Santa Rosa, CA 95403"
1527,Diamond Bank,AR,FED,957206,Int Small Bank,,,"Mar 17, 2025",role,CRA Officer,www.diamond.bank,"319 E Main, Murfreesboro, AR 71958"
58694,Prime Meridian Bank,FL,FDIC,956408,Intermediate Small Bank Evaluation,,,04/01/2025,role,CRA Officer,https://www.primemeridianbank.com,"1471 Timberlane Rd, Tallahassee, FL 32312"
1756,Central Bank,AR,FDIC,954592,Intermediate Small Bank Evaluation,,,04/01/2025,role,CRA Officer,http://www.centralbankar.com,"1506 Market St, Little Rock, AR 72211"
21074,Texas Bank,TX,FDIC,953909,Intermediate Small Bank Evaluation,,,08/01/2024,role,CRA Officer,http://www.texasbnk.com,"1120 Us Highway 79 N, Henderson, TX 75652"
11860,The Killbuck Savings Bank Company,OH,FED,953780,Int Small Bank,Needs to Improve,High Satisfactory,"Jul 29, 2024",role,CRA Officer,http://www.killbuckbank.com,"165 N Main St, Killbuck, OH 44637"
57598,Mainstreet Community Bank of Florida,FL,FDIC,953357,Intermediate Small Bank Evaluation,,,10/01/2025,role,CRA Officer,www.bankonmainstreet.com,"204 S Woodland Blvd, Deland, FL 32720"
4952,The First National Bank of Middle Tennessee,TN,OCC,952383,Intermediate Small Bank,,,06/03/2024,role,CRA Officer,www.fnbmt.com,"200 E Main St, Mcminnville, TN 37110"
27394,First Bank & Trust Co.,OK,FDIC,952058,Intermediate Small Bank Evaluation,,,12/01/2023,role,CRA Officer,www.fb247.com,"923 W Main St, Duncan, OK 73533"
15663,First State Bank,MS,FDIC,951506,Intermediate Small Bank Evaluation,,,08/01/2025,role,CRA Officer,www.firststatebnk.com,"708 Azalea Dr, Waynesboro, MS 39367"
17431,Stone Bank,AR,FED,950691,Intermediate Small Bank Evaluation,High Satisfactory,High Satisfactory,02/01/2021,role,CRA Officer,www.stonebank.com,"802 E Main St, Mountain View, AR 72560"
12501,Citizens State Bank,TX,FDIC,950336,Intermediate Small Bank Evaluation,,,08/01/2023,role,CRA Officer,,"1330 W Commerce St, Buffalo, TX 75831"
4211,First National Bank of Oklahoma,OK,OCC,949873,Intermediate Small Bank,,,10/21/2024,role,CRA Officer,www.fnbok.bank,"10900 Hefner Pointe Dr, Oklahoma City, OK 73120"
15779,The Farmers & Merchants Bank,WI,FED,949397,Int Small Bank,,,"Sep 15, 2025",role,CRA Officer,http://www.fmberlin.com,"123 W Huron St, Berlin, WI 54923"
25249,"C3bank, National Association",CA,OCC,949272,Intermediate Small Bank,,,02/18/2025,role,CRA Officer,www.C3bank.com,"850 S Coast Highway 101, Encinitas, CA 92024"
8889,Midwest Regional Bank,MO,FDIC,948967,Intermediate Small Bank Evaluation,,,10/01/2025,role,CRA Officer,www.mwrbank.com,"135 N Meramec Ave, Clayton, MO 63105"
15423,American Bank of Freedom,MO,FDIC,948266,Intermediate Small Bank Evaluation,,,03/01/2024,role,CRA Officer,www.americanbankoffreedom.bank,"106 E Hudson St, Wellsville, MO 63384"
1720,Western Bank,TX,FDIC,947176,Intermediate Small Bank Evaluation,,,12/01/2025,role,CRA Officer,www.western.bank,"1617 Broadway, Lubbock, TX 79401"
27238,Winchester Co-operative Bank,MA,FDIC,946884,Intermediate Small Bank Evaluation,,,01/01/2024,role,CRA Officer,www.wcbonline.com,"19 Church St, Winchester, MA 01890"
15584,Mid-Missouri Bank,MO,FDIC,946738,Intermediate Small Bank Evaluation,,,10/01/2024,role,CRA Officer,www.midmobank.com,"1615 E Independence St, Springfield, MO 65804"
3228,The First National Bank of Granbury,TX,OCC,946349,Intermediate Small Bank,,,07/31/2023,role,CRA Officer,www.fnbgranbury.com,"101 E Bridge St, Granbury, TX 76048"
27211,First Community Bank of Tennessee,TN,FDIC,943790,Intermediate Small Bank Evaluation,,,07/01/2025,role,CRA Officer,www.firstcommunitybanker.com,"207 Elm St, Shelbyville, TN 37160"
1696,The Farmers Bank,TN,FDIC,942795,Intermediate Small Bank Evaluation,,,05/01/2025,role,CRA Officer,www.thefarmersbank.net,"120 Village Dr, Portland, TN 37148"
34890,"New Peoples Bank, Inc.",VA,FED,942461,Int Small Bank,Needs to Improve,Low Satisfactory,"Jul 22, 2019",role,CRA Officer,www.newpeoples.bank,"53 Commerce Dr, Honaker, VA 24260"
58175,Bank of New Jersey,NJ,FDIC,939920,Intermediate Small Bank Evaluation,High Satisfactory,High Satisfactory,05/01/2018,role,CRA Officer,,"1365 Palisade Avenue, Fort Lee, NJ 07024"
5005,FNB Oxford Bank,MS,FED,939718,Int Small Bank,,,"Mar 03, 2025",role,CRA Officer,www.fnboxford.com,"101 Courthouse Sq, Oxford, MS 38655"
6137,Bank of Botetourt,VA,FDIC,939409,Intermediate Small Bank Evaluation,,,07/01/2024,role,CRA Officer,www.bankofbotetourt.com,"19747 Main St, Buchanan, VA 24066"
