rssd,cert,name,location,method,exam_date,overall,assets,svc_rating,inv_rating,cd_rating,branches_topneed,exposure,top_county
453446,3873,EAGLE BANK AND TRUST COMPANY,"LITTLE ROCK, AR",Int Small Bank,"Sep 03, 2024",Satisfactory,"$474,036",,,Satisfactory,5,10725,"Pulaski, AR"
48374,28905,FIRST FINANCIAL BANK,"EL DORADO, AR",Int Small Bank,"Sep 06, 2021",Satisfactory,"$1,557,182",Low Satisfactory,Low Satisfactory,Satisfactory,1,10725,"Pulaski, AR"
49241,19371,RELYANCE BANK,"WHITE HALL, AR",Int Small Bank,"Jun 05, 2023",Satisfactory,"$1,190,663",,,Outstanding,4,10725,"Pulaski, AR"
168571,28812,ARMOR BANK,"FORREST CITY, AR",Int Small Bank,"Oct 15, 2024",Satisfactory,"$450,573",,,Satisfactory,4,10725,"Pulaski, AR"
913146,17431,STONE BANK,"MOUNTAIN VIEW, AR",Int Small Bank,"Mar 31, 2025",Satisfactory,"$839,584",,,Satisfactory,1,10725,"Pulaski, AR"
256553,17437,DACOTAH BANK,"ABERDEEN, SD",Large Bank,"Mar 27, 2023",Outstanding,"$3,589,007",High Satisfactory,Low Satisfactory,,1,10647,"Hennepin, MN"
2631846,34836,NORTH AMERICAN BANKING COMPANY,"ROSEVILLE, MN",Int Small Bank,"Jun 09, 2025",Satisfactory,"$1,368,790",,,Satisfactory,2,10647,"Hennepin, MN"
844567,3389,POINTBANK,"PILOT POINT, TX",Int Small Bank,"Jul 26, 2021",Satisfactory,"$715,760",,,Needs to Improve,10,10239,"Denton, TX"
3150447,57450,"CHARLES SCHWAB BANK, SSB","WESTLAKE, TX",Strategic Plan,"Oct 14, 2025",Outstanding,"$243,112,000",,,,1,10239,"Denton, TX"
1893049,33497,"CHARLES SCHWAB PREMIER BANK, SSB","WESTLAKE, TX",Strategic Plan,"Oct 14, 2025",Outstanding,"$25,134,000",,,,1,10239,"Denton, TX"
615217,9457,"NORTH SIDE BANK AND TRUST COMPANY, THE","CINCINNATI, OH",Int Small Bank,"Oct 07, 2024",Outstanding,"$1,009,577",Low Satisfactory,Substantial Noncompliance,Satisfactory,8,9888,"Hamilton, OH"
285740,16664,"PADUCAH BANK AND TRUST COMPANY, THE","PADUCAH, KY",Int Small Bank,"Sep 20, 2021",Satisfactory,"$811,568",,,Satisfactory,1,9847,"Jefferson, KY"
243375,22653,GREEN DOT BANK,"PROVO, UT",Strategic Plan,"Nov 12, 2024",Outstanding,"$3,932,353",,,,1,9826,"Utah, UT"
2785646,8252,OLD MISSOURI BANK,"SPRINGFIELD, MO",Int Small Bank,"Mar 06, 2023",Satisfactory,"$1,070,997",,,Satisfactory,2,9620,"Johnson, KS"
285852,4746,FIRST OPTION BANK,"OSAWATOMIE, KS",Int Small Bank,"Mar 06, 2023",Satisfactory,"$612,375",,,Outstanding,1,9620,"Johnson, KS"
940311,34968,BANCO POPULAR DE PUERTO RICO,"SAN JUAN, PR",Large Bank,"Jun 23, 2025",Satisfactory,"$58,456,000",High Satisfactory,Low Satisfactory,,1,9494,"New York, NY"
2736291,34967,POPULAR BANK,"NEW YORK, NY",Large Bank,"Sep 15, 2025",Satisfactory,"$14,864,258",High Satisfactory,Low Satisfactory,,7,9494,"New York, NY"
236706,11035,PEAPACK-GLADSTONE BANK,"BEDMINSTER, NJ",Large Bank,"Jun 07, 2021",Satisfactory,"$5,892,261",Low Satisfactory,Low Satisfactory,,1,9494,"New York, NY"
3664588,58741,FIELDPOINT PRIVATE BANK & TRUST,"GREENWICH, CT",Int Small Bank,"Jan 16, 2024",Needs to Improve,"$1,656,434",,,Satisfactory,1,9494,"New York, NY"
214807,623,DEUTSCHE BANK TRUST COMPANY AMERICAS,"NEW YORK, NY",Wholesale,"Jun 18, 2018",Outstanding,"$42,106,000",,,,1,9494,"New York, NY"
229913,21843,MIZUHO BANK (USA),"NEW YORK, NY",Wholesale,"Feb 22, 2021",Outstanding,"$7,380,887",,,,2,9494,"New York, NY"
139843,12839,FIRST FARMERS BANK & TRUST CO.,"CONVERSE, IN",Large Bank,"Sep 20, 2021",Satisfactory,"$2,298,100",High Satisfactory,Low Satisfactory,Satisfactory,2,9394,"Tippecanoe, IN"
256058,24472,AMERICAN NATION BANK,"ARDMORE, OK",Int Small Bank,"Sep 27, 2021",Satisfactory,"$566,443",,,Satisfactory,2,8773,"Tarrant, TX"
509811,2720,"COMMUNITY TRUST BANK, INC.","PIKEVILLE, KY",Large Bank,"Oct 07, 2019",Satisfactory,"$5,000,601",Low Satisfactory,Low Satisfactory,,6,8595,"Fayette, KY"
1445943,32912,"WHITAKER BANK, INC","LEXINGTON, KY",Large Bank,"Nov 27, 2023",Outstanding,"$1,956,886",Low Satisfactory,Needs to Improve,,4,8595,"Fayette, KY"
2849463,34966,FIRST CAPITAL BANK,"CHARLESTON, SC",Int Small Bank,"May 19, 2025",Satisfactory,"$1,012,100",,,Satisfactory,2,8496,"Charleston, SC"
371362,1219,WELLINGTON STATE BANK,"WELLINGTON, TX",Int Small Bank,"Oct 23, 2023",Satisfactory,"$562,371",,,Satisfactory,1,8427,"Lubbock, TX"
874845,13102,LAKE CITY BANK,"WARSAW, IN",Large Bank,"Mar 01, 2021",Satisfactory,"$5,822,227",High Satisfactory,Low Satisfactory,,3,8283,"Marion, IN"
94522,20484,BENCHMARK COMMUNITY BANK,"KENBRIDGE, VA",Int Small Bank,"Aug 15, 2022",Satisfactory,"$1,060,822",High Satisfactory,Needs to Improve,Satisfactory,1,8275,"Wake, NC"
2915461,35519,NORTH STATE BANK,"RALEIGH, NC",Int Small Bank,"Jun 30, 2025",Satisfactory,"$1,435,137",,,Satisfactory,6,8275,"Wake, NC"
945053,15399,RCB BANK,"CLAREMORE, OK",Large Bank,"Sep 08, 2025",Satisfactory,"$3,899,432",Low Satisfactory,Low Satisfactory,,3,8261,"Sedgwick, KS"
1014853,4707,CITIZENS BANK OF KANSAS,"KINGMAN, KS",Int Small Bank,"Aug 14, 2023",Satisfactory,"$481,443",,,Satisfactory,5,8261,"Sedgwick, KS"
227151,1869,UNION STATE BANK,"ARKANSAS CITY, KS",Int Small Bank,"Mar 17, 2025",Satisfactory,"$702,830",,,Satisfactory,2,8261,"Sedgwick, KS"
657459,1058,MIDWEST BANKCENTRE,"SAINT LOUIS, MO",Large Bank,"Feb 22, 2022",Outstanding,"$2,374,880",Low Satisfactory,Low Satisfactory,,9,8113,"St. Louis, MO"
177751,1068,CASS COMMERCIAL BANK,"DES PERES, MO",Int Small Bank,"May 13, 2024",Satisfactory,"$1,344,302",Low Satisfactory,High Satisfactory,Satisfactory,2,8113,"St. Louis, MO"
185859,1073,LINDELL BANK & TRUST COMPANY,"SAINT LOUIS, MO",Int Small Bank,"Sep 05, 2023",Satisfactory,"$863,098",Low Satisfactory,Low Satisfactory,Satisfactory,8,8113,"St. Louis, MO"
613558,8255,MONTGOMERY BANK,"SIKESTON, MO",Int Small Bank,"May 01, 2023",Satisfactory,"$1,300,407",,,Outstanding,7,8113,"St. Louis, MO"
3076248,57311,STIFEL BANK AND TRUST,"SAINT LOUIS, MO",Strategic Plan,"Mar 23, 2020",Outstanding,"$13,901,250",High Satisfactory,Outstanding,,1,8113,"St. Louis, MO"
677644,16216,"FARMERS & MERCHANTS BANK, THE","STUTTGART, AR",Int Small Bank,"Jun 03, 2019",Satisfactory,"$1,048,367",,Low Satisfactory,Satisfactory,6,7977,"Washington, AR"
34742,13083,FIRST WESTERN BANK,"BOONEVILLE, AR",Int Small Bank,"May 12, 2025",Satisfactory,"$725,601",,,Satisfactory,1,7977,"Washington, AR"
114840,13632,FIRST STATE BANK,"RUSSELLVILLE, AR",Int Small Bank,"Dec 02, 2024",Satisfactory,"$559,812",,,Outstanding,1,7977,"Washington, AR"
3350724,89,SIGNATURE BANK OF ARKANSAS,"FAYETTEVILLE, AR",Int Small Bank,"Oct 15, 2024",Satisfactory,"$1,210,630",,,Satisfactory,3,7977,"Washington, AR"
2958972,57097,NORTHSTAR BANK,"BAD AXE, MI",Int Small Bank,"Feb 06, 2023",Satisfactory,"$911,313",,,Satisfactory,1,7765,"Washtenaw, MI"
711548,14009,CHELSEA STATE BANK,"CHELSEA, MI",Int Small Bank,"Feb 26, 2024",Satisfactory,"$403,647",,,Satisfactory,3,7765,"Washtenaw, MI"
479370,29783,HIGH COUNTRY BANK,"SALIDA, CO",Int Small Bank,"Jul 10, 2023",Satisfactory,"$440,094",,,Satisfactory,1,7753,"Boulder, CO"
479839,20720,TENNESSEE STATE BANK,"PIGEON FORGE, TN",Int Small Bank,"Jun 12, 2023",Satisfactory,"$1,035,492",Low Satisfactory,Needs to Improve,Satisfactory,3,7687,"Knox, TN"
