rssd,cert,name,location,method,exam_date,overall,assets,svc_rating,inv_rating,cd_rating,branches_topneed,exposure,top_county
2687133,34849,PREMIER BANK,"DUBUQUE, IA",Int Small Bank,"Sep 21, 2020",Satisfactory,"$347,911",,,Satisfactory,0,0,
671147,8101,PRIMEBANK,"LE MARS, IA",Int Small Bank,"Sep 21, 2020",Satisfactory,"$513,287",,,Satisfactory,0,0,
3415463,,RELIANT BANK,"BRENTWOOD, TN",Int Small Bank,"Nov 09, 2020",Satisfactory,"$2,982,303",,,Satisfactory,0,0,
1162017,,UNITED SECURITY BANK,"FRESNO, CA",Int Small Bank,"Oct 26, 2020",Satisfactory,"$956,213",High Satisfactory,High Satisfactory,Satisfactory,0,0,
590220,24919,UWHARRIE BANK,"ALBEMARLE, NC",Int Small Bank,"Nov 16, 2020",Satisfactory,"$787,146",,,Satisfactory,0,0,
63573,26487,WALPOLE CO-OPERATIVE BANK,"WALPOLE, MA",Int Small Bank,"May 08, 2023",Satisfactory,"$584,640",,,Satisfactory,0,0,
27614,10663,"ANDOVER BANK, THE","ANDOVER, OH",Int Small Bank,"Feb 24, 2025",Outstanding,"$583,080",,,Satisfactory,0,0,
466754,10308,"BANK OF FAYETTE COUNTY, THE","PIPERTON, TN",Int Small Bank,"Jul 22, 2024",Satisfactory,"$924,008",,,Satisfactory,0,0,
925653,18576,BANK OF TEXAS,"MIDLAND, TX",Int Small Bank,"Sep 16, 2024",Satisfactory,"$534,531",,,Satisfactory,0,0,
699105,90169,BLUESTONE BANK,"RAYNHAM, MA",Int Small Bank,"Nov 04, 2024",Satisfactory,"$1,529,846",,,Satisfactory,0,0,
991621,823,CITIZENS BANK AND TRUST COMPANY,"BLACKSTONE, VA",Int Small Bank,"Sep 27, 2021",Satisfactory,"$533,003",Low Satisfactory,Low Satisfactory,Satisfactory,0,0,
495419,2718,"CITIZENS BANK OF KENTUCKY, INC","PAINTSVILLE, KY",Int Small Bank,"Nov 29, 2021",Outstanding,"$776,322",,,Outstanding,0,0,
27847,1527,DIAMOND BANK,"MURFREESBORO, AR",Int Small Bank,"Mar 17, 2025",Satisfactory,"$836,310",,,Satisfactory,0,0,
771140,3787,DIETERICH BANK,"EFFINGHAM, IL",Int Small Bank,"Jan 21, 2025",Satisfactory,"$1,407,708",,,Satisfactory,0,0,
303952,4539,FARMERS BANK OF NORTHERN MISSOURI,"UNIONVILLE, MO",Int Small Bank,"Feb 08, 2021",Satisfactory,"$423,619",,,Satisfactory,0,0,
475354,342,FARMERS STATE BANK,"VICTOR, MT",Int Small Bank,"May 10, 2021",Satisfactory,"$577,693",,,Satisfactory,0,0,
848248,19644,FIDELITY BANK,"WEST MEMPHIS, AR",Int Small Bank,"May 05, 2025",Satisfactory,"$546,524",,,Outstanding,0,0,
618740,,FIELD & MAIN BANK,"HENDERSON, KY",Int Small Bank,"Jan 13, 2025",Satisfactory,"$769,106",,,Satisfactory,0,0,
376442,4519,FIRST BANK,"WAVERLY, IA",Int Small Bank,"Sep 09, 2024",Satisfactory,"$715,627",,,Satisfactory,0,0,
868956,2208,FIRST NORTHERN BANK OF WYOMING,"BUFFALO, WY",Int Small Bank,"Oct 25, 2021",Satisfactory,"$527,452",,,Satisfactory,0,0,
499453,13868,FIRST STATE BANK NEBRASKA,"LINCOLN, NE",Int Small Bank,"May 24, 2021",Satisfactory,"$755,752",,,Satisfactory,0,0,
329550,22020,INSOUTH BANK,"BROWNSVILLE, TN",Int Small Bank,"Mar 15, 2021",Satisfactory,"$369,487",,,Satisfactory,0,0,
982348,13953,IOWA STATE BANK,"HULL, IA",Int Small Bank,"Mar 08, 2021",Satisfactory,"$728,627",,,Satisfactory,0,0,
3607062,,LONE STAR STATE BANK OF WEST TEXAS,"LUBBOCK, TX",Int Small Bank,"Jun 28, 2021",Satisfactory,"$1,051,741",,,Satisfactory,0,0,
604024,763,MINSTER BANK,"MINSTER, OH",Int Small Bank,"Oct 14, 2025",Outstanding,"$778,145",,,Satisfactory,0,0,
575759,5434,MNB BANK,"MCCOOK, NE",Int Small Bank,"Nov 15, 2021",Satisfactory,"$408,310",,,Outstanding,0,0,
968249,14692,PEOPLES BANK,"CLIVE, IA",Int Small Bank,"Oct 27, 2025",Satisfactory,"$485,897",,,Satisfactory,0,0,
920854,5193,PIONEER BANK,"MAPLETON, MN",Int Small Bank,"Jan 25, 2021",Outstanding,"$676,506",,,Outstanding,0,0,
670467,23275,PLUMAS BANK,"QUINCY, CA",Int Small Bank,"Jun 07, 2021",Satisfactory,"$1,205,927",,,Satisfactory,0,0,
3816510,,PROFESSIONAL BANK,"CORAL GABLES, FL",Int Small Bank,"Jun 07, 2021",Satisfactory,"$2,056,933",,,Outstanding,0,0,
150727,12978,"RICHWOOD BANKING COMPANY, INC., THE","RICHWOOD, OH",Int Small Bank,"May 12, 2025",Outstanding,"$1,217,625",,,Satisfactory,0,0,
450959,14222,SECURITY FINANCIAL BANK,"DURAND, WI",Int Small Bank,"May 05, 2025",Outstanding,"$970,358",,,Outstanding,0,0,
955959,12592,SECURITY STATE BANK,"BASIN, WY",Int Small Bank,"Mar 08, 2021",Satisfactory,"$392,588",,,Satisfactory,0,0,
746429,,TOUCHSTONE BANK,"MC KENNEY, VA",Int Small Bank,"Nov 15, 2021",Satisfactory,"$586,651",,,Satisfactory,0,0,
645465,,VISTA BANK,"DALLAS, TX",Int Small Bank,"Mar 01, 2021",Satisfactory,"$1,344,135",,,Satisfactory,0,0,
715340,22308,WEST MICHIGAN COMMUNITY BANK,"HUDSONVILLE, MI",Int Small Bank,"Nov 18, 2024",Satisfactory,"$1,001,481",,,Outstanding,0,0,
61476,,ABINGTON BANK,"ABINGTON, MA",Int Small Bank,"Jul 18, 2022",Satisfactory,"$607,939",,,Satisfactory,0,0,
101671,,ADIRONDACK BANK,"UTICA, NY",Int Small Bank,"Oct 31, 2022",Satisfactory,"$990,659",,,Satisfactory,0,0,
414102,9831,ALDEN STATE BANK,"ALDEN, NY",Int Small Bank,"Oct 31, 2022",Satisfactory,"$443,484",,,Satisfactory,0,0,
262358,9967,AMERICAN STATE BANK,"ARP, TX",Int Small Bank,"Sep 26, 2022",Satisfactory,"$758,300",,,Satisfactory,0,0,
225559,23123,BANK OF BARTLETT,"BARTLETT, TN",Int Small Bank,"Mar 28, 2022",Satisfactory,"$491,950",High Satisfactory,Low Satisfactory,Satisfactory,0,0,
2562164,34403,COASTAL COMMUNITY BANK,"EVERETT, WA",Int Small Bank,"Mar 07, 2022",Satisfactory,"$2,632,697",,,Satisfactory,0,0,
957757,13068,COMMUNITY BANK AND TRUST,"NEOSHO, MO",Int Small Bank,"May 02, 2022",Satisfactory,"$415,896",High Satisfactory,Low Satisfactory,Satisfactory,0,0,
624246,955,CONNECTION BANK,"FORT MADISON, IA",Int Small Bank,"Apr 14, 2025",Satisfactory,"$488,603",,,Satisfactory,0,0,
81175,31485,EQUITABLE BANK,"GRAND ISLAND, NE",Int Small Bank,"Jun 06, 2022",Satisfactory,"$434,802",,,Satisfactory,0,0,
113740,15032,FIRST STATE BANK,"EASTPOINTE, MI",Int Small Bank,"Mar 14, 2022",Satisfactory,"$937,238",,,Satisfactory,0,0,
884358,15898,FIRST STATE BANK OF LIVINGSTON,"LIVINGSTON, TX",Int Small Bank,"Mar 03, 2025",Outstanding,"$689,499",,,Satisfactory,0,0,
504311,2285,"GENOA BANKING COMPANY, THE","GENOA, OH",Int Small Bank,"Sep 26, 2022",Satisfactory,"$515,980",,,Satisfactory,0,0,
3812147,58789,GRAND RIVER BANK,"GRANDVILLE, MI",Int Small Bank,"Jul 07, 2025",Satisfactory,"$516,223",,,Satisfactory,0,0,
469559,5473,JONES BANK,"SEWARD, NE",Int Small Bank,"Sep 26, 2022",Satisfactory,"$400,163",,,Satisfactory,0,0,
580155,5442,PLATTE VALLEY BANK,"TORRINGTON, WY",Int Small Bank,"Mar 07, 2022",Satisfactory,"$566,416",,,Satisfactory,0,0,
879644,9369,"BANK OF ADVANCE, THE","ADVANCE, MO",Int Small Bank,"Jul 24, 2023",Satisfactory,"$454,487",High Satisfactory,,Satisfactory,0,0,
2903123,35365,BANK OF OAK RIDGE,"OAK RIDGE, NC",Int Small Bank,"Jun 12, 2023",Satisfactory,"$586,336",,,Satisfactory,0,0,
353238,72,CENTRAL STATE BANK,"CALERA, AL",Int Small Bank,"Sep 25, 2023",Satisfactory,"$578,836",,,Satisfactory,0,0,
582953,26185,CHARTER WEST BANK,"WEST POINT, NE",Int Small Bank,"Jan 09, 2023",Satisfactory,"$414,929",,,Satisfactory,0,0,
1836701,33380,ENTERPRISE BANK,"OMAHA, NE",Int Small Bank,"Aug 07, 2023",Satisfactory,"$436,312",,,Satisfactory,0,0,
968744,5006,FIRST CHOICE BANK,"PONTOTOC, MS",Int Small Bank,"Mar 20, 2023",Satisfactory,"$434,542",,,Satisfactory,0,0,
613156,363,"FIRST MONTANA BANK, INC.","MISSOULA, MT",Int Small Bank,"Sep 11, 2023",Satisfactory,"$567,131",,,Satisfactory,0,0,
823656,9770,FIRST STATE BANK SOUTHWEST,"PIPESTONE, MN",Int Small Bank,"Aug 14, 2023",Outstanding,"$392,166",,,Outstanding,0,0,
137447,3840,"FNB COMMUNITY BANK,THE","VANDALIA, IL",Int Small Bank,"Jul 24, 2023",Satisfactory,"$489,724",,,Satisfactory,0,0,
1015252,12259,LEA COUNTY STATE BANK,"HOBBS, NM",Int Small Bank,"Mar 06, 2023",Satisfactory,"$583,068",,,Outstanding,0,0,
669555,13255,MIDWEST BANK,"PIERCE, NE",Int Small Bank,"Nov 27, 2023",Satisfactory,"$1,006,807",,,Outstanding,0,0,
2667957,34811,NEBRASKALAND BANK,"NORTH PLATTE, NE",Int Small Bank,"May 01, 2023",Satisfactory,"$934,997",,,Outstanding,0,0,
126553,8850,NORTH SHORE BANK OF COMMERCE,"DULUTH, MN",Int Small Bank,"May 08, 2023",Satisfactory,"$415,908",,,Outstanding,0,0,
448040,9719,OXFORD BANK,"OXFORD, MI",Int Small Bank,"May 15, 2023",Satisfactory,"$821,623",,,Satisfactory,0,0,
956938,21906,PRIORITYONE BANK,"MAGEE, MS",Int Small Bank,"Oct 30, 2023",Satisfactory,"$1,032,203",,,Outstanding,0,0,
3567269,58563,SELECT BANK,"FOREST, VA",Int Small Bank,"Apr 17, 2023",Satisfactory,"$440,948",,,Satisfactory,0,0,
722816,13297,SOLVAY BANK,"SOLVAY, NY",Int Small Bank,"Oct 06, 2025",Outstanding,"$1,181,142",Outstanding,Low Satisfactory,Satisfactory,0,0,
695349,977,TRI-COUNTY BANK,"BROWN CITY, MI",Int Small Bank,"Aug 14, 2023",Satisfactory,"$535,638",,,Satisfactory,0,0,
3487947,58407,UNIBANK,"LYNNWOOD, WA",Int Small Bank,"Jul 31, 2023",Satisfactory,"$607,134",,,Satisfactory,0,0,
3603961,,"VICTORY BANK, THE","LIMERICK, PA",Int Small Bank,"Jul 10, 2023",Satisfactory,"$420,491",,,Satisfactory,0,0,
261940,3869,ANSTAFF BANK,"GREEN FOREST, AR",Int Small Bank,"Nov 12, 2024",Satisfactory,"$1,015,990",,,Satisfactory,0,0,
862057,26217,BANK OF COMMERCE,"CHANUTE, KS",Int Small Bank,"Apr 15, 2024",Satisfactory,"$459,152",Outstanding,,Satisfactory,0,0,
541857,2380,CARROLL BANK AND TRUST,"HUNTINGDON, TN",Int Small Bank,"Jun 03, 2024",Satisfactory,"$506,110",,,Satisfactory,0,0,
382050,1095,CENTRAL SAVINGS BANK,"SAULT SAINTE MARIE, MI",Int Small Bank,"Jan 29, 2024",Outstanding,"$430,381",,,Outstanding,0,0,
502746,14883,COMMUNITY STATE BANK,"AVILLA, IN",Int Small Bank,"Mar 04, 2024",Satisfactory,"$486,259",,,Satisfactory,0,0,
386450,14312,FIVE POINTS BANK OF HASTINGS,"HASTINGS, NE",Int Small Bank,"Jul 29, 2024",Satisfactory,"$533,338",,,Satisfactory,0,0,
3385744,58111,NOBLEBANK & TRUST,"ANNISTON, AL",Int Small Bank,"Mar 25, 2024",Satisfactory,"$409,247",,,Outstanding,0,0,
396253,25738,SOVEREIGN BANK,"SHAWNEE, OK",Int Small Bank,"Nov 18, 2024",Satisfactory,"$1,098,902",,,Outstanding,0,0,
736550,18610,"UNION STATE BANK OF EVEREST, THE","EVEREST, KS",Int Small Bank,"Dec 09, 2024",Satisfactory,"$413,006",,,Satisfactory,0,0,
241157,4029,VISION BANK,"ADA, OK",Int Small Bank,"Nov 04, 2024",Outstanding,"$997,260",,,Outstanding,0,0,
433943,214,WASHINGTON STATE BANK,"WASHINGTON, IA",Int Small Bank,"Jan 22, 2024",Satisfactory,"$548,508",,,Satisfactory,0,0,
2785477,34759,ASIAN BANK,"PHILADELPHIA, PA",Int Small Bank,"Jun 02, 2025",Satisfactory,"$606,439",,,Satisfactory,0,0,
552059,4791,BANK OF THE FLINT HILLS,"WAMEGO, KS",Int Small Bank,"Jul 07, 2025",Satisfactory,"$468,873",,,Satisfactory,0,0,
831576,29177,BANKTENNESSEE,"COLLIERVILLE, TN",Int Small Bank,"Mar 24, 2025",Satisfactory,"$613,915",,,Satisfactory,0,0,
64552,11521,CHICKASAW COMMUNITY BANK,"OKLAHOMA CITY, OK",Int Small Bank,"Apr 28, 2025",Satisfactory,"$469,509",,,Outstanding,0,0,
3485420,,CORNERSTONE COMMUNITY BANK,"RED BLUFF, CA",Int Small Bank,"May 12, 2025",Satisfactory,"$657,922",,,Satisfactory,0,0,
574949,15779,"FARMERS & MERCHANTS BANK, THE","BERLIN, WI",Int Small Bank,"Sep 15, 2025",Satisfactory,"$952,328",,,Satisfactory,0,0,
524953,4185,FIRST PRYORITY BANK,"PRYOR, OK",Int Small Bank,"Nov 17, 2025",Satisfactory,"$498,549",,,Satisfactory,0,0,
590640,5005,FNB OXFORD BANK,"OXFORD, MS",Int Small Bank,"Mar 03, 2025",Satisfactory,"$817,381",,,Satisfactory,0,0,
715872,31217,LIFESTORE BANK,"WEST JEFFERSON, NC",Int Small Bank,"Oct 14, 2025",Satisfactory,"$474,039",,,Satisfactory,0,0,
77253,15345,TXN BANK,"HONDO, TX",Int Small Bank,"Jun 02, 2025",Satisfactory,"$611,776",,,Satisfactory,0,0,
710176,28930,VERIMORE BANK,"BROOKFIELD, MO",Int Small Bank,"Dec 01, 2025",Satisfactory,"$460,685",,,Outstanding,0,0,
208655,5432,FIRST NORTHEAST BANK OF NEBRASKA,"LYONS, NE",Int Small Bank,"Apr 20, 2026",Satisfactory,"$480,723",,,Outstanding,0,0,
160360,23007,OREGON PACIFIC BANKING CO. DBA OREGON PACIFIC BANK,"FLORENCE, OR",Int Small Bank,"Jan 12, 2026",Satisfactory,"$837,360",,,Satisfactory,0,0,
882242,15334,ROLLING HILLS BANK & TRUST,"ATLANTIC, IA",Int Small Bank,"Feb 23, 2026",Satisfactory,"$472,271",,,Satisfactory,0,0,
802866,,SILICON VALLEY BANK,"SANTA CLARA, CA",Strategic Plan,"Oct 22, 2018",Satisfactory,"$55,073,093",Needs to Improve,Low Satisfactory,,0,0,
1216826,,SILVERGATE BANK,"LA JOLLA, CA",Strategic Plan,"Mar 02, 2020",Satisfactory,"$2,127,181",,,Satisfactory,0,0,
3475083,58457,TRISTATE CAPITAL BANK,"PITTSBURGH, PA",Strategic Plan,"Jun 03, 2024",Outstanding,"$19,449,826",,,,0,0,
3716852,,MARLIN BUSINESS BANK,"SALT LAKE CITY, UT",Limited Purpose,"Jun 10, 2019",Satisfactory,"$1,049,840",,,,0,0,
