name,rssd,location,overall,exam_date,public_date,method,assets,svc_rating,inv_rating,cd_rating
PROFESSIONAL BANK,3816510,"CORAL GABLES, FL",Satisfactory,"Jun 07, 2021","Sep 19, 2021",Int Small Bank,"$2,056,933",,,Outstanding
"RICHWOOD BANKING COMPANY, INC., THE",150727,"RICHWOOD, OH",Outstanding,"May 12, 2025","Oct 05, 2025",Int Small Bank,"$1,217,625",,,Satisfactory
SECURITY FINANCIAL BANK,450959,"DURAND, WI",Outstanding,"May 05, 2025","Nov 10, 2025",Int Small Bank,"$970,358",,,Outstanding
SECURITY STATE BANK,955959,"BASIN, WY",Satisfactory,"Mar 08, 2021","May 27, 2021",Int Small Bank,"$392,588",,,Satisfactory
TOUCHSTONE BANK,746429,"MC KENNEY, VA",Satisfactory,"Nov 15, 2021","May 26, 2022",Int Small Bank,"$586,651",,,Satisfactory
VISTA BANK,645465,"DALLAS, TX",Satisfactory,"Mar 01, 2021","Jun 06, 2021",Int Small Bank,"$1,344,135",,,Satisfactory
WEST MICHIGAN COMMUNITY BANK,715340,"HUDSONVILLE, MI",Satisfactory,"Nov 18, 2024","Jun 30, 2025",Int Small Bank,"$1,001,481",,,Outstanding
ABINGTON BANK,61476,"ABINGTON, MA",Satisfactory,"Jul 18, 2022","Dec 18, 2022",Int Small Bank,"$607,939",,,Satisfactory
ADIRONDACK BANK,101671,"UTICA, NY",Satisfactory,"Oct 31, 2022","Jun 01, 2023",Int Small Bank,"$990,659",,,Satisfactory
ALDEN STATE BANK,414102,"ALDEN, NY",Satisfactory,"Oct 31, 2022","Jun 18, 2023",Int Small Bank,"$443,484",,,Satisfactory
AMERICAN STATE BANK,262358,"ARP, TX",Satisfactory,"Sep 26, 2022","Jan 13, 2023",Int Small Bank,"$758,300",,,Satisfactory
BANK OF BARTLETT,225559,"BARTLETT, TN",Satisfactory,"Mar 28, 2022","Apr 14, 2023",Int Small Bank,"$491,950",High Satisfactory,Low Satisfactory,Satisfactory
"CALLAWAY BANK, THE",719656,"FULTON, MO",Satisfactory,"Oct 06, 2025","Jan 11, 2026",Int Small Bank,"$498,766",,,Satisfactory
CENTRAL STATE BANK,678744,"ELKADER, IA",Satisfactory,"Jun 06, 2022","Aug 29, 2022",Int Small Bank,"$404,247",,,Satisfactory
COASTAL COMMUNITY BANK,2562164,"EVERETT, WA",Satisfactory,"Mar 07, 2022","Mar 13, 2023",Int Small Bank,"$2,632,697",,,Satisfactory
COMMUNITY BANK AND TRUST,957757,"NEOSHO, MO",Satisfactory,"May 02, 2022","Jul 18, 2022",Int Small Bank,"$415,896",High Satisfactory,Low Satisfactory,Satisfactory
CONNECTION BANK,624246,"FORT MADISON, IA",Satisfactory,"Apr 14, 2025","Aug 09, 2025",Int Small Bank,"$488,603",,,Satisfactory
EQUITABLE BANK,81175,"GRAND ISLAND, NE",Satisfactory,"Jun 06, 2022","Sep 08, 2022",Int Small Bank,"$434,802",,,Satisfactory
FIRST STATE BANK,113740,"EASTPOINTE, MI",Satisfactory,"Mar 14, 2022","Sep 12, 2022",Int Small Bank,"$937,238",,,Satisfactory
FIRST STATE BANK OF LIVINGSTON,884358,"LIVINGSTON, TX",Outstanding,"Mar 03, 2025","Jun 07, 2025",Int Small Bank,"$689,499",,,Satisfactory
"GENOA BANKING COMPANY, THE",504311,"GENOA, OH",Satisfactory,"Sep 26, 2022","Apr 17, 2023",Int Small Bank,"$515,980",,,Satisfactory
GRAND RIVER BANK,3812147,"GRANDVILLE, MI",Satisfactory,"Jul 07, 2025","Dec 14, 2025",Int Small Bank,"$516,223",,,Satisfactory
INSBANK,2877345,"NASHVILLE, TN",Satisfactory,"Nov 07, 2022","Feb 05, 2023",Int Small Bank,"$721,727",,,Satisfactory
JONES BANK,469559,"SEWARD, NE",Satisfactory,"Sep 26, 2022","Dec 11, 2022",Int Small Bank,"$400,163",,,Satisfactory
PARADISE BANK,3368635,"BOCA RATON, FL",Satisfactory,"Sep 19, 2022","Dec 22, 2022",Int Small Bank,"$416,402",,,Satisfactory
PLATTE VALLEY BANK,580155,"TORRINGTON, WY",Satisfactory,"Mar 07, 2022","Jun 05, 2022",Int Small Bank,"$566,416",,,Satisfactory
SUSSER BANK,965789,"DALLAS, TX",Satisfactory,"Feb 28, 2022","Aug 27, 2022",Int Small Bank,"$1,458,568",,,Satisfactory
"BANK OF ADVANCE, THE",879644,"ADVANCE, MO",Satisfactory,"Jul 24, 2023","Nov 03, 2023",Int Small Bank,"$454,487",High Satisfactory,,Satisfactory
BANK OF OAK RIDGE,2903123,"OAK RIDGE, NC",Satisfactory,"Jun 12, 2023","Apr 22, 2024",Int Small Bank,"$586,336",,,Satisfactory
CENTRAL STATE BANK,353238,"CALERA, AL",Satisfactory,"Sep 25, 2023","Mar 07, 2024",Int Small Bank,"$578,836",,,Satisfactory
CHARTER WEST BANK,582953,"WEST POINT, NE",Satisfactory,"Jan 09, 2023","Mar 27, 2023",Int Small Bank,"$414,929",,,Satisfactory
CITIZENS BANK OF KANSAS,1014853,"KINGMAN, KS",Satisfactory,"Aug 14, 2023","Oct 30, 2023",Int Small Bank,"$481,443",,,Satisfactory
ENTERPRISE BANK,1836701,"OMAHA, NE",Satisfactory,"Aug 07, 2023","Oct 23, 2023",Int Small Bank,"$436,312",,,Satisfactory
FIRST CHOICE BANK,968744,"PONTOTOC, MS",Satisfactory,"Mar 20, 2023","Jun 24, 2023",Int Small Bank,"$434,542",,,Satisfactory
"FIRST MONTANA BANK, INC.",613156,"MISSOULA, MT",Satisfactory,"Sep 11, 2023","Jun 23, 2024",Int Small Bank,"$567,131",,,Satisfactory
FIRST OPTION BANK,285852,"OSAWATOMIE, KS",Satisfactory,"Mar 06, 2023","Jun 16, 2023",Int Small Bank,"$612,375",,,Outstanding
FIRST STATE BANK SOUTHWEST,823656,"PIPESTONE, MN",Outstanding,"Aug 14, 2023","Mar 18, 2024",Int Small Bank,"$392,166",,,Outstanding
"FNB COMMUNITY BANK,THE",137447,"VANDALIA, IL",Satisfactory,"Jul 24, 2023","Nov 03, 2023",Int Small Bank,"$489,724",,,Satisfactory
HIGH COUNTRY BANK,479370,"SALIDA, CO",Satisfactory,"Jul 10, 2023","Sep 25, 2023",Int Small Bank,"$440,094",,,Satisfactory
LEA COUNTY STATE BANK,1015252,"HOBBS, NM",Satisfactory,"Mar 06, 2023","May 29, 2023",Int Small Bank,"$583,068",,,Outstanding
MIDWEST BANK,669555,"PIERCE, NE",Satisfactory,"Nov 27, 2023","Feb 26, 2024",Int Small Bank,"$1,006,807",,,Outstanding
NEBRASKALAND BANK,2667957,"NORTH PLATTE, NE",Satisfactory,"May 01, 2023","Jul 17, 2023",Int Small Bank,"$934,997",,,Outstanding
NORTH SHORE BANK OF COMMERCE,126553,"DULUTH, MN",Satisfactory,"May 08, 2023","Jan 21, 2024",Int Small Bank,"$415,908",,,Outstanding
OXFORD BANK,448040,"OXFORD, MI",Satisfactory,"May 15, 2023","Feb 16, 2024",Int Small Bank,"$821,623",,,Satisfactory
PRIORITYONE BANK,956938,"MAGEE, MS",Satisfactory,"Oct 30, 2023","Apr 27, 2024",Int Small Bank,"$1,032,203",,,Outstanding
RELYANCE BANK,49241,"WHITE HALL, AR",Satisfactory,"Jun 05, 2023","Sep 23, 2023",Int Small Bank,"$1,190,663",,,Outstanding
SELECT BANK,3567269,"FOREST, VA",Satisfactory,"Apr 17, 2023","Jun 01, 2024",Int Small Bank,"$440,948",,,Satisfactory
SOLVAY BANK,722816,"SOLVAY, NY",Outstanding,"Oct 06, 2025","Feb 26, 2026",Int Small Bank,"$1,181,142",Outstanding,Low Satisfactory,Satisfactory
TRI-COUNTY BANK,695349,"BROWN CITY, MI",Satisfactory,"Aug 14, 2023","Apr 06, 2024",Int Small Bank,"$535,638",,,Satisfactory
UNIBANK,3487947,"LYNNWOOD, WA",Satisfactory,"Jul 31, 2023","Jul 05, 2024",Int Small Bank,"$607,134",,,Satisfactory
"VICTORY BANK, THE",3603961,"LIMERICK, PA",Satisfactory,"Jul 10, 2023","Jun 14, 2024",Int Small Bank,"$420,491",,,Satisfactory
ANSTAFF BANK,261940,"GREEN FOREST, AR",Satisfactory,"Nov 12, 2024","Feb 28, 2025",Int Small Bank,"$1,015,990",,,Satisfactory
ARMOR BANK,168571,"FORREST CITY, AR",Satisfactory,"Oct 15, 2024","Jan 19, 2025",Int Small Bank,"$450,573",,,Satisfactory
BANK OF COMMERCE,862057,"CHANUTE, KS",Satisfactory,"Apr 15, 2024","Jul 04, 2024",Int Small Bank,"$459,152",Outstanding,,Satisfactory
CARROLL BANK AND TRUST,541857,"HUNTINGDON, TN",Satisfactory,"Jun 03, 2024","Sep 27, 2024",Int Small Bank,"$506,110",,,Satisfactory
CENTRAL SAVINGS BANK,382050,"SAULT SAINTE MARIE, MI",Outstanding,"Jan 29, 2024","Aug 25, 2024",Int Small Bank,"$430,381",,,Outstanding
CHELSEA STATE BANK,711548,"CHELSEA, MI",Satisfactory,"Feb 26, 2024","Jun 10, 2024",Int Small Bank,"$403,647",,,Satisfactory
COASTAL STATES BANK,3274709,"HILTON HEAD ISLAND, SC",Satisfactory,"Oct 21, 2024","Apr 06, 2025",Int Small Bank,"$2,113,953",,,Satisfactory
COMMUNITY STATE BANK,502746,"AVILLA, IN",Satisfactory,"Mar 04, 2024","Jun 15, 2024",Int Small Bank,"$486,259",,,Satisfactory
FIRST LIBERTY BANK,629353,"LIBERTY, TX",Outstanding,"Dec 02, 2024","Apr 14, 2025",Int Small Bank,"$501,041",,,Satisfactory
FIRST STATE BANK,114840,"RUSSELLVILLE, AR",Satisfactory,"Dec 02, 2024","Mar 22, 2025",Int Small Bank,"$559,812",,,Outstanding
FIVE POINTS BANK OF HASTINGS,386450,"HASTINGS, NE",Satisfactory,"Jul 29, 2024","Oct 14, 2024",Int Small Bank,"$533,338",,,Satisfactory
GRAND BANK,76854,"TULSA, OK",Satisfactory,"Jun 10, 2024","Sep 02, 2024",Int Small Bank,"$591,730",,,Outstanding
NOBLEBANK & TRUST,3385744,"ANNISTON, AL",Satisfactory,"Mar 25, 2024","Jul 08, 2024",Int Small Bank,"$409,247",,,Outstanding
PEGASUS BANK,3465392,"DALLAS, TX",Satisfactory,"Nov 18, 2024","May 02, 2025",Int Small Bank,"$1,292,315",,,Outstanding
SIGNATURE BANK OF ARKANSAS,3350724,"FAYETTEVILLE, AR",Satisfactory,"Oct 15, 2024","Feb 16, 2025",Int Small Bank,"$1,210,630",,,Satisfactory
SOVEREIGN BANK,396253,"SHAWNEE, OK",Satisfactory,"Nov 18, 2024","Mar 01, 2025",Int Small Bank,"$1,098,902",,,Outstanding
"UNION STATE BANK OF EVEREST, THE",736550,"EVEREST, KS",Satisfactory,"Dec 09, 2024","Mar 13, 2025",Int Small Bank,"$413,006",,,Satisfactory
VISION BANK,241157,"ADA, OK",Outstanding,"Nov 04, 2024","Jun 02, 2025",Int Small Bank,"$997,260",,,Outstanding
WASHINGTON STATE BANK,433943,"WASHINGTON, IA",Satisfactory,"Jan 22, 2024","May 05, 2024",Int Small Bank,"$548,508",,,Satisfactory
ASIAN BANK,2785477,"PHILADELPHIA, PA",Satisfactory,"Jun 02, 2025","Nov 14, 2025",Int Small Bank,"$606,439",,,Satisfactory
BANK OF THE FLINT HILLS,552059,"WAMEGO, KS",Satisfactory,"Jul 07, 2025","Oct 20, 2025",Int Small Bank,"$468,873",,,Satisfactory
BANKTENNESSEE,831576,"COLLIERVILLE, TN",Satisfactory,"Mar 24, 2025","Jun 22, 2025",Int Small Bank,"$613,915",,,Satisfactory
BENCHMARK BANK,980960,"PLANO, TX",Satisfactory,"Aug 04, 2025","Nov 30, 2025",Int Small Bank,"$1,218,286",,,Satisfactory
BLUE SKY BANK,517357,"PAWHUSKA, OK",Satisfactory,"Dec 01, 2025","Mar 12, 2026",Int Small Bank,"$1,196,528",,,Satisfactory
CHAMBERS BANK,517049,"DANVILLE, AR",Satisfactory,"Feb 18, 2025","Jul 05, 2025",Int Small Bank,"$1,387,566",,,Outstanding
CHICKASAW COMMUNITY BANK,64552,"OKLAHOMA CITY, OK",Satisfactory,"Apr 28, 2025","Oct 06, 2025",Int Small Bank,"$469,509",,,Outstanding
CORNERSTONE COMMUNITY BANK,3485420,"RED BLUFF, CA",Satisfactory,"May 12, 2025","Aug 29, 2025",Int Small Bank,"$657,922",,,Satisfactory
"FARMERS & MERCHANTS BANK, THE",574949,"BERLIN, WI",Satisfactory,"Sep 15, 2025","Dec 22, 2025",Int Small Bank,"$952,328",,,Satisfactory
FIRST CAPITAL BANK,2849463,"CHARLESTON, SC",Satisfactory,"May 19, 2025","Nov 03, 2025",Int Small Bank,"$1,012,100",,,Satisfactory
FIRST PRYORITY BANK,524953,"PRYOR, OK",Satisfactory,"Nov 17, 2025","Jun 15, 2026",Int Small Bank,"$498,549",,,Satisfactory
FNB OXFORD BANK,590640,"OXFORD, MS",Satisfactory,"Mar 03, 2025","Jun 14, 2025",Int Small Bank,"$817,381",,,Satisfactory
LIFESTORE BANK,715872,"WEST JEFFERSON, NC",Satisfactory,"Oct 14, 2025","Feb 23, 2026",Int Small Bank,"$474,039",,,Satisfactory
"MISSOURI BANK, THE",309150,"WARRENTON, MO",Satisfactory,"Aug 18, 2025","Dec 06, 2025",Int Small Bank,"$470,003",,,Satisfactory
MOUNTAIN VALLEY BANK,475653,"WALDEN, CO",Satisfactory,"Jun 09, 2025","Sep 08, 2025",Int Small Bank,"$571,946",,,Satisfactory
STONE BANK,913146,"MOUNTAIN VIEW, AR",Satisfactory,"Mar 31, 2025","Jul 21, 2025",Int Small Bank,"$839,584",,,Satisfactory
TXN BANK,77253,"HONDO, TX",Satisfactory,"Jun 02, 2025","Oct 13, 2025",Int Small Bank,"$611,776",,,Satisfactory
UNION STATE BANK,227151,"ARKANSAS CITY, KS",Satisfactory,"Mar 17, 2025","Aug 10, 2026",Int Small Bank,"$702,830",,,Satisfactory
VERIMORE BANK,710176,"BROOKFIELD, MO",Satisfactory,"Dec 01, 2025","Mar 05, 2026",Int Small Bank,"$460,685",,,Outstanding
WORTHINGTON BANK,3150205,"ARLINGTON, TX",Satisfactory,"Apr 07, 2025","Aug 02, 2025",Int Small Bank,"$612,795",,,Outstanding
FIRST NORTHEAST BANK OF NEBRASKA,208655,"LYONS, NE",Satisfactory,"Apr 20, 2026","Jul 12, 2026",Int Small Bank,"$480,723",,,Outstanding
OREGON PACIFIC BANKING CO. DBA OREGON PACIFIC BANK,160360,"FLORENCE, OR",Satisfactory,"Jan 12, 2026","May 28, 2026",Int Small Bank,"$837,360",,,Satisfactory
ROLLING HILLS BANK & TRUST,882242,"ATLANTIC, IA",Satisfactory,"Feb 23, 2026","Jun 27, 2026",Int Small Bank,"$472,271",,,Satisfactory
GREEN DOT BANK,243375,"PROVO, UT",Outstanding,"Nov 12, 2024","Mar 02, 2025",Strategic Plan,"$3,932,353",,,
SILICON VALLEY BANK,802866,"SANTA CLARA, CA",Satisfactory,"Oct 22, 2018","Feb 02, 2019",Strategic Plan,"$55,073,093",Needs to Improve,Low Satisfactory,
ALLY BANK,3284070,"SANDY, UT",Outstanding,"Sep 28, 2020","Jan 15, 2021",Strategic Plan,"$172,910,000",,,
SILVERGATE BANK,1216826,"LA JOLLA, CA",Satisfactory,"Mar 02, 2020","Jul 05, 2020",Strategic Plan,"$2,127,181",,,Satisfactory
STIFEL BANK AND TRUST,3076248,"SAINT LOUIS, MO",Outstanding,"Mar 23, 2020","Jul 12, 2021",Strategic Plan,"$13,901,250",High Satisfactory,Outstanding,
"CHARLES SCHWAB BANK, SSB",3150447,"WESTLAKE, TX",Outstanding,"Oct 14, 2025","Mar 27, 2026",Strategic Plan,"$243,112,000",,,
"CHARLES SCHWAB PREMIER BANK, SSB",1893049,"WESTLAKE, TX",Outstanding,"Oct 14, 2025","Mar 27, 2026",Strategic Plan,"$25,134,000",,,
TRISTATE CAPITAL BANK,3475083,"PITTSBURGH, PA",Outstanding,"Jun 03, 2024","Nov 21, 2024",Strategic Plan,"$19,449,826",,,
"BANK OF NEW YORK MELLON, THE",541101,"NEW YORK, NY",Satisfactory,"Nov 19, 2018","Jun 22, 2019",Wholesale,"$273,110,000",Low Satisfactory,Outstanding,
DEUTSCHE BANK TRUST COMPANY AMERICAS,214807,"NEW YORK, NY",Outstanding,"Jun 18, 2018","Jan 03, 2019",Wholesale,"$42,106,000",,,
MIZUHO BANK (USA),229913,"NEW YORK, NY",Outstanding,"Feb 22, 2021","Jul 22, 2021",Wholesale,"$7,380,887",,,
"NORTHERN TRUST COMPANY, THE",210434,"CHICAGO, IL",Outstanding,"Oct 15, 2018","May 02, 2019",Wholesale,"$134,656,952",High Satisfactory,Outstanding,
GOLDMAN SACHS BANK USA,2182786,"NEW YORK, NY",Outstanding,"Jul 08, 2019","Jun 18, 2020",Wholesale,"$191,517,000",,,
STATE STREET BANK AND TRUST COMPANY,35301,"BOSTON, MA",Outstanding,"Sep 27, 2021","Feb 18, 2022",Wholesale,"$322,958,000",,,
MARLIN BUSINESS BANK,3716852,"SALT LAKE CITY, UT",Satisfactory,"Jun 10, 2019","Mar 02, 2020",Limited Purpose,"$1,049,840",,,
VCC BANK,3626858,"RICHMOND, VA",Outstanding,"Jan 06, 2020","Aug 22, 2020",Limited Purpose,"$214,190",,,
