name,rssd,location,overall,exam_date,public_date,method,assets,svc_rating,inv_rating,cd_rating
WHEATON BANK & TRUST COMPANY,2044811,"WHEATON, IL",Outstanding,"Apr 29, 2019","Aug 02, 2019",Large Bank,"$1,733,933",Low Satisfactory,Low Satisfactory,
ANB BANK,828651,"DENVER, CO",Outstanding,"Sep 23, 2024","Feb 14, 2025",Large Bank,"$3,180,893",Low Satisfactory,Outstanding,
BANCO POPULAR DE PUERTO RICO,940311,"SAN JUAN, PR",Satisfactory,"Jun 23, 2025","Jan 05, 2026",Large Bank,"$58,456,000",High Satisfactory,Low Satisfactory,
BANK INDEPENDENT,539032,"SHEFFIELD, AL",Satisfactory,"Mar 13, 2023","Jul 30, 2023",Large Bank,"$2,229,522",Low Satisfactory,Low Satisfactory,
"BANK OF MARION, THE",858528,"MARION, VA",Satisfactory,"Oct 19, 2020","Mar 01, 2021",Large Bank,"$449,569",Low Satisfactory,Low Satisfactory,
BANK RHODE ISLAND,2434113,"PROVIDENCE, RI",Satisfactory,"Sep 09, 2024","Mar 08, 2025",Large Bank,"$3,378,281",Low Satisfactory,Low Satisfactory,
BROOKLINE BANK,782306,"BROOKLINE, MA",Satisfactory,"Sep 09, 2024","Mar 08, 2025",Large Bank,"$6,353,060",Low Satisfactory,Low Satisfactory,
CENTRAL BANK OF THE MIDWEST,704559,"LEE&#39;S SUMMIT, MO",Satisfactory,"Nov 02, 2020","Feb 15, 2021",Large Bank,"$3,577,679",Low Satisfactory,Low Satisfactory,
COMMERCE BANK,601050,"KANSAS CITY, MO",Outstanding,"Nov 28, 2022","Jul 29, 2023",Large Bank,"$34,838,342",Outstanding,Outstanding,
CUSTOMERS BANK,2354985,"PHOENIXVILLE, PA",Satisfactory,"Nov 02, 2020","Apr 12, 2021",Large Bank,"$17,892,526",Low Satisfactory,Low Satisfactory,Satisfactory
DACOTAH BANK,256553,"ABERDEEN, SD",Outstanding,"Mar 27, 2023","Dec 21, 2023",Large Bank,"$3,589,007",High Satisfactory,Low Satisfactory,
ESSEX BANK,781028,"RICHMOND, VA",Satisfactory,"Oct 05, 2020","Jan 22, 2021",Large Bank,"$1,614,861",Low Satisfactory,Low Satisfactory,Satisfactory
FIRST FARMERS AND MERCHANTS BANK,150035,"COLUMBIA, TN",Satisfactory,"Mar 20, 2023","Jul 10, 2023",Large Bank,"$1,970,197",Low Satisfactory,Low Satisfactory,Satisfactory
FIRST HORIZON BANK,485559,"MEMPHIS, TN",Satisfactory,"Nov 30, 2020","Mar 05, 2022",Large Bank,"$82,688,692",High Satisfactory,Outstanding,
