name,hq,exam_date,exam_year,rating,ma_originations_2024,pe_url
PHH Mortgage Corporation,"Mount Laurel, NJ",5/23/2023,2023,S,118,https://www.mass.gov/doc/phh-mortgage-corporation-mlci-performance-evaluation/download
"Semper Home Loans, LLC","Providence, RI",2/26/2024,2024,S,107,https://www.mass.gov/doc/semper-home-loans-inc-mlci-performance-evaluation/download
"Primary Residential Mortgage, Inc.","Salt Lake City, UT",4/20/2022,2022,S,99,https://www.mass.gov/doc/primary-residential-mortgage-inc-mlci-performance-evaluation/download
"Members Mortgage Company, Inc.","Stoneham, MA",9/20/2021,2021,S,96,https://www.mass.gov/doc/members-mortgage-company-inc-mlci-performance-evaluation/download
Arc Home LLC,"Moorestown, NJ",1/16/2024,2024,S,90,https://www.mass.gov/doc/arc-home-llc-mlci-performance-evaluation/download
LeaderOne Financial Corporation,"Overland Park, KS",10/20/2022,2022,S,90,https://www.mass.gov/doc/leaderone-financial-corporation-mlci-performance-evaluation/download
"Ross Mortgage Company, Inc.","Westborough, MA",2/25/2025,2025,S,85,https://www.mass.gov/doc/ross-mortgage-company-inc-mlci-performance-evaluation/download
"MLD Mortgage, Inc.","Florham Park, NJ",10/31/2022,2022,NI,84,https://www.mass.gov/doc/mld-mortgage-inc-mlci-performance-evaluation/download
"Reliance First Capital, LLC","Melville, NY",10/11/2022,2022,S,83,https://www.mass.gov/doc/reliance-first-capital-llc-mlci-performance-evaluation/download
"Province Mortgage Associates, Inc.","East Providence, RI",8/6/2025,2025,S,79,https://www.mass.gov/doc/province-mortgage-associates-inc-mlci-performance-evaluation-0/download
Nations Lending Corporation,"Independence, OH",1/11/2022,2022,S,78,https://www.mass.gov/doc/nations-lending-corporation-mlci-performance-evaluation/download
AmWest Funding Corp.,"Brea, CA",2/2/2026,2026,S,77,https://www.mass.gov/doc/amwest-funding-corp-mlci-performance-evaluation/download
"Geneva Financial, LLC","Chandler, AZ",5/1/2025,2025,S,69,https://www.mass.gov/doc/geneva-financial-llc-mlci-performance-evaluation/download
"Equity Resources, Inc.","Newark, OH",3/4/2024,2024,S,60,https://www.mass.gov/doc/equity-resources-inc-mlci-performance-evaluation/download
"Guidance Residential, LLC","Reston, VA",6/21/2023,2023,S,59,https://www.mass.gov/doc/guidance-residential-llc-mlci-performance-evaluation/download
Republic State Mortgage Co.,"Houston, TX",6/3/2024,2024,S,57,https://www.mass.gov/doc/republic-state-mortgage-co-mlci-performance-evaluation-0/download
"Allied Mortgage Group, Inc.","Bala Cynwyd, PA",11/20/2023,2023,S,55,https://www.mass.gov/doc/allied-mortgage-group-inc-mlci-performance-evaluation/download
Academy Mortgage Corporation,"Draper, UT",3/28/2023,2023,S,0,https://www.mass.gov/doc/academy-mortgage-corporation-mlci-performance-evaluation/download
"American Financial Resources, Inc.","Parsippany, NJ",1/21/2016,2016,S,0,https://www.mass.gov/doc/american-financial-resources-mlci-public-evaluation/download
American Financing Corporation,"Aurora, CO",5/7/2024,2024,S,0,https://www.mass.gov/doc/american-financing-corporation-mlci-performance-evaluation/download
"American Internet Mortgage, Inc.","San Diego, CA",7/7/2020,2020,S,0,https://www.mass.gov/doc/american-internet-mortgage-inc-mlci-public-evaluation-0/download
"American Nationwide Mortgage Company, Inc.","Tampa, FL",11/3/2020,2020,S,0,https://www.mass.gov/doc/american-nationwide-mortgage-company-inc-mlci-performance-evaluation/download
"Caliber Home Loans, Inc.","Coppell, TX",8/21/2023,2023,S,0,https://www.mass.gov/doc/caliber-home-loans-inc-mlci-performance-evaluation/download
"Conway Financial Services, LLC","Norwell, MA",12/2/2019,2019,S,0,https://www.mass.gov/doc/conway-financial-services-llc-mlci-public-evaluation/download
Draper and Kramer Mortgage Corp.,"Downers Grove, IL",9/7/2021,2021,S,0,https://www.mass.gov/doc/draper-and-kramer-mortgage-corp-mlci-performance-evaluation/download
"Equity Prime Mortgage, LLC","Atlanta, GA",7/23/2019,2019,HS,0,https://www.mass.gov/doc/equity-prime-mortgage-llc-mlci-public-evaluation/download
"Everett Financial, Inc.","Dallas, TX",3/11/2024,2024,S,0,https://www.mass.gov/doc/everett-financial-inc-mlci-performance-evaluation/download
"FBC Mortgage, LLC","Orlando, FL",9/19/2022,2022,NI,0,https://www.mass.gov/doc/fbc-mortgage-llc-mlci-performance-evaluation/download
Finance of America Mortgage LLC,"Conshohocken, PA",9/19/2022,2022,S,0,https://www.mass.gov/doc/finance-of-america-mortgage-llc-mlci-performance-evaluation/download
First Guaranty Mortgage Corporation,"Dallas, TX",8/8/2022,2022,S,0,https://www.mass.gov/doc/first-guaranty-mortgage-corporation-mlci-performance-evaluation/download
Home Point Financial Corporation,"Ann Arbor, MI",6/10/2022,2022,S,0,https://www.mass.gov/doc/home-point-financial-corporation-mlci-performance-evaluation/download
Homespire Mortgage Corporation,"Gaithersburg, MD",5/2/2023,2023,S,0,https://www.mass.gov/doc/homespire-mortgage-corporation-mlci-performance-evaluation/download
