Record_ID,Store_Name,Store_Street_Address,Additonal_Address,City,State,Zip_Code,Zip4,County,Store_Type,Latitude,Longitude,Incentive_Program,Grantee_Name,ObjectId
919813,Wareham Country Market,195 Marion Rd,,Wareham,MA,02571,1423,PLYMOUTH,Convenience Store,41.755367,-70.732277,,,65174
919879,Cultures United,281 W 6th St,,Lowell,MA,01850,1834,MIDDLESEX,Grocery Store,42.656693,-71.31115,,,65178
749296,Walgreens 07703,54 Center Sq,,E Longmeadow,MA,01028,2446,HAMPDEN,Other,42.064888,-72.513145,,,65213
878655,Hathaway Service Station Inc 1,36 Hathaway Rd,,New Bedford,MA,02746,1306,BRISTOL,Convenience Store,41.661701,-70.943268,,,65247
878720,Walgreens 10318,78 Turnpike Rd,,Southborough,MA,01772,2103,WORCESTER,Other,42.294022,-71.506035,,,65271
878727,Walgreens 10940,235 S Main St,,Middleton,MA,01949,2445,ESSEX,Other,42.578266,-71.000221,,,65275
918339,Walgreens 02861,653 Worcester Rd,Ste 3,Framingham,MA,01701,5222,MIDDLESEX,Other,42.298397,-71.423866,,,65380
918372,Dollar Tree 2050,162 West St,,Ware,MA,01082,1448,HAMPSHIRE,Other,42.254429,-72.253052,,,65387
918384,Dollar Tree 3281,111 Pleasant St,,Attleboro,MA,02703,2360,BRISTOL,Other,41.947578,-71.278885,,,65392
918680,North Quabbin Community Co-Op,12 N Main St,,Orange,MA,01364,1016,FRANKLIN,Farmers and Markets,42.591225,-72.309441,,,65574
1636052,One Stop Convenience,345 Revere St,,Revere,MA,02151,4525,SUFFOLK,Convenience Store,42.418331,-70.997406,,,65630
1632173,Well Done Intl Groceries & Gifts,1583 Main St,,Chatham,MA,02633,2711,BARNSTABLE,Convenience Store,41.682449,-69.992241,,,65642
917845,Aggies Place,69 Pearl St,,Somerville,MA,02145,3428,MIDDLESEX,Convenience Store,42.384537,-71.083992,,,65656
918850,Trader Joe's 517,211 Alewife Brook Pkwy,,Cambridge,MA,02138,1101,MIDDLESEX,Supermarket,42.389183,-71.142929,,,65800
1286271,Marini Farm LLC,259 Linebrook Rd,,Ipswich,MA,01938,1149,ESSEX,Farmers and Markets,42.685356,-70.894279,,,66135
1287538,Pilot Travel Center 222,400 Haynes St,Building A,Sturbridge,MA,01566,    ,WORCESTER,Convenience Store,42.068352,-72.10463,,,66548
880667,Corner Food Mart,1060 Hancock St,,Quincy,MA,02169,2104,NORFOLK,Convenience Store,42.256382,-71.007034,,,66596
1286635,Dollar General Store 17051,236 North St,,Cheshire,MA,01225,9659,BERKSHIRE,Other,42.5672,-73.160835,,,66954
