rank,county,state,unenrolled_persons,method,n_pressured_banks,total_offices,largest_bank,largest_bank_assets_k,largest_bank_regulator,largest_bank_inv,largest_bank_svc,banks
22,Bronx,NY,110484,survey-weighted,4,15,Apple Bank for Savings,16888361,FDIC,Low Satisfactory,High Satisfactory,"Apple Bank for Savings(FDIC,9br,inv=Low Satisfactory,svc=High Satisfactory); POPULAR BANK(FED,3br,inv=Low Satisfactory,svc=-); Amalgamated Bank(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory); ORANGE BANK & TRUST COMPANY(FED,2br,inv=Low Satisfactory,svc=-)"
23,New York,NY,109137,survey-weighted,11,32,Bank OZK,41606548,FDIC,Outstanding,Low Satisfactory,"Bank OZK(FDIC,1br,inv=Outstanding,svc=Low Satisfactory); CENTENNIAL BANK(FED,1br,inv=-,svc=Low Satisfactory); Bank of Hope(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory); Apple Bank for Savings(FDIC,14br,inv=Low Satisfactory,svc=High Satisfactory); ConnectOne Bank(FDIC,1br,inv=Outstanding,svc=Low Satisfactory); POPULAR BANK(FED,7br,inv=Low Satisfactory,svc=-); Amalgamated Bank(FDIC,2br,inv=High Satisfactory,svc=Low Satisfactory); Hanmi Bank(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory); PEAPACK-GLADSTONE BANK(FED,1br,inv=-,svc=Low Satisfactory); Habib American Bank(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory)"
24,Orange,FL,108465,survey-weighted,7,16,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,6br,inv=-,svc=Low Satisfactory); Bank OZK(FDIC,2br,inv=Outstanding,svc=Low Satisfactory); Ameris Bank(FDIC,2br,inv=High Satisfactory,svc=Low Satisfactory); CENTENNIAL BANK(FED,2br,inv=-,svc=Low Satisfactory); Ocean Bank(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory); Banco do Brasil Americas(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory); American Momentum Bank(FDIC,2br,inv=High Satisfactory,svc=Low Satisfactory)"
25,Sacramento,CA,107264,MODELED,5,12,FIRST BANK,6554829,FED,-,Low Satisfactory,"FIRST BANK(FED,1br,inv=-,svc=Low Satisfactory); Bank of Stockton(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory); Bank of Marin(FDIC,4br,inv=Low Satisfactory,svc=Low Satisfactory); Five Star Bank(FDIC,3br,inv=High Satisfactory,svc=Low Satisfactory); First Northern Bank of Dixon(FDIC,3br,inv=Low Satisfactory,svc=High Satisfactory)"
27,Palm Beach,FL,104095,survey-weighted,6,12,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,1br,inv=-,svc=Low Satisfactory); Bank OZK(FDIC,1br,inv=Outstanding,svc=Low Satisfactory); CENTENNIAL BANK(FED,7br,inv=-,svc=Low Satisfactory); ConnectOne Bank(FDIC,1br,inv=Outstanding,svc=Low Satisfactory); NBH BANK(FED,1br,inv=-,svc=Low Satisfactory); Ocean Bank(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory)"
28,King,WA,100101,survey-weighted,5,14,Bank of Hope,18082905,FDIC,High Satisfactory,Low Satisfactory,"Bank of Hope(FDIC,3br,inv=High Satisfactory,svc=Low Satisfactory); Heritage Bank(FDIC,6br,inv=High Satisfactory,svc=Low Satisfactory); 1st Security Bank of Washington(FDIC,3br,inv=Outstanding,svc=Low Satisfactory); Peoples Bank(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory); Timberland Bank(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory)"
29,El Paso,TX,97007,survey-weighted,2,7,City Bank,4184122,FDIC,Low Satisfactory,Low Satisfactory,"City Bank(FDIC,3br,inv=Low Satisfactory,svc=Low Satisfactory); First American Bank(FDIC,4br,inv=Outstanding,svc=Low Satisfactory)"
31,Travis,TX,93843,survey-weighted,14,37,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,1br,inv=-,svc=Low Satisfactory); Bank OZK(FDIC,3br,inv=Outstanding,svc=Low Satisfactory); Prosperity Bank(FDIC,13br,inv=High Satisfactory,svc=Low Satisfactory); CENTENNIAL BANK(FED,1br,inv=-,svc=Low Satisfactory); PLAINSCAPITAL BANK(FED,2br,inv=-,svc=Low Satisfactory); NBH BANK(FED,3br,inv=-,svc=Low Satisfactory); THIRD COAST BANK(FED,4br,inv=Low Satisfactory,svc=Low Satisfactory); ENCORE BANK(FED,1br,inv=Low Satisfactory,svc=Low Satisfactory); Gulf Coast Bank and Trust Company(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory); Jefferson Bank(FDIC,1br,inv=Low Satisfactory,svc=Outstanding)"
33,Alameda,CA,91425,MODELED,3,5,Hanmi Bank,7407990,FDIC,Low Satisfactory,High Satisfactory,"Hanmi Bank(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory); Bank of Marin(FDIC,3br,inv=Low Satisfactory,svc=Low Satisfactory); Commercial Bank of California(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory)"
34,Marion,IN,88230,survey-weighted,5,18,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,12br,inv=-,svc=Low Satisfactory); Horizon Bank(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory); LAKE CITY BANK(FED,3br,inv=Low Satisfactory,svc=-); First Business Bank(FDIC,1br,inv=Outstanding,svc=Low Satisfactory); Union Savings Bank(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory)"
35,Shelby,TN,85763,survey-weighted,3,25,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,15br,inv=-,svc=Low Satisfactory); SIMMONS BANK(FED,9br,inv=-,svc=Low Satisfactory); Community Bank of Mississippi(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory)"
36,Gwinnett,GA,85283,survey-weighted,9,17,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,1br,inv=-,svc=Low Satisfactory); Bank OZK(FDIC,3br,inv=Outstanding,svc=Low Satisfactory); Ameris Bank(FDIC,7br,inv=High Satisfactory,svc=Low Satisfactory); Bank of Hope(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory); Hanmi Bank(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory); HOMETRUST BANK(FED,1br,inv=Low Satisfactory,svc=Low Satisfactory); PCB Bank(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory); Pinnacle Bank(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory); Shinhan Bank America(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory)"
37,Salt Lake,UT,82922,survey-weighted,6,6,WEX Bank,7597943,FDIC,Low Satisfactory,Low Satisfactory,"WEX Bank(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory); NBH BANK(FED,1br,inv=-,svc=Low Satisfactory); Cache Valley Bank(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory); D. L. Evans Bank(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory); Sunwest Bank(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory); Banterra Bank(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory)"
38,Duval,FL,82772,survey-weighted,3,14,Bank OZK,41606548,FDIC,Outstanding,Low Satisfactory,"Bank OZK(FDIC,4br,inv=Outstanding,svc=Low Satisfactory); Ameris Bank(FDIC,9br,inv=High Satisfactory,svc=Low Satisfactory); Colony Bank(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory)"
39,Santa Clara,CA,80391,MODELED,8,10,Bank of Hope,18082905,FDIC,High Satisfactory,Low Satisfactory,"Bank of Hope(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory); Hanmi Bank(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory); FIRST BANK(FED,1br,inv=-,svc=Low Satisfactory); CTBC Bank Corp. (USA)(FDIC,2br,inv=Substantial Non Complianc,svc=Substantial Non Complianc); Commercial Bank of California(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory); Exchange Bank(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory); West Coast Community Bank(FDIC,2br,inv=High Satisfactory,svc=Low Satisfactory); Avidbank(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory)"
40,New Haven,CT,79367,survey-weighted (LEGACY COUNTIES),1,1,Ion Bank,2083933,FDIC,Low Satisfactory,High Satisfactory,"Ion Bank(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory)"
41,Cuyahoga,OH,78938,survey-weighted,2,3,Union Savings Bank,3391585,FDIC,High Satisfactory,Low Satisfactory,"Union Savings Bank(FDIC,2br,inv=High Satisfactory,svc=Low Satisfactory); CIVISTA BANK(FED,1br,inv=-,svc=Low Satisfactory)"
