rank,county,state,unenrolled_persons,method,n_pressured_banks,total_offices,largest_bank,largest_bank_assets_k,largest_bank_regulator,largest_bank_inv,largest_bank_svc,banks
837,Union,AR,5199,survey-weighted,1,3,SIMMONS BANK,26749112,FED,-,Low Satisfactory,"SIMMONS BANK(FED,3br,inv=-,svc=Low Satisfactory)"
839,Christian,MO,5182,survey-weighted,5,12,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,1br,inv=-,svc=Low Satisfactory); SIMMONS BANK(FED,2br,inv=-,svc=Low Satisfactory); CENTRAL TRUST BANK THE(FED,4br,inv=Low Satisfactory,svc=-); Great Southern Bank(FDIC,4br,inv=High Satisfactory,svc=Low Satisfactory); The Bank of Missouri(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory)"
841,Worcester,MD,5147,survey-weighted,1,1,Burke & Herbert Bank & Trust Company,3563307,FDIC,Low Satisfactory,High Satisfactory,"Burke & Herbert Bank & Trust Company(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory)"
843,Lee,NC,5143,survey-weighted,1,1,The Fidelity Bank,4263695,FDIC,Low Satisfactory,Low Satisfactory,"The Fidelity Bank(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory)"
844,Clay,MN,5142,survey-weighted,1,1,First International Bank & Trust,4876751,FDIC,Low Satisfactory,Low Satisfactory,"First International Bank & Trust(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory)"
847,Lafayette,MS,5129,survey-weighted,4,7,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,2br,inv=-,svc=Low Satisfactory); ORIGIN BANK(FED,1br,inv=Low Satisfactory,svc=Low Satisfactory); BankPlus(FDIC,1br,inv=Outstanding,svc=Low Satisfactory); BANKFIRST FINANCIAL SERVICES(FED,3br,inv=Low Satisfactory,svc=-)"
849,Hot Spring,AR,5103,survey-weighted,2,4,Bank OZK,41606548,FDIC,Outstanding,Low Satisfactory,"Bank OZK(FDIC,2br,inv=Outstanding,svc=Low Satisfactory); FARMERS BANK & TRUST COMPANY(FED,2br,inv=Low Satisfactory,svc=Low Satisfactory)"
850,Franklin,AL,5087,survey-weighted,1,3,BANK INDEPENDENT,2814773,FED,Low Satisfactory,-,"BANK INDEPENDENT(FED,3br,inv=Low Satisfactory,svc=-)"
851,Jasper,TX,5082,survey-weighted,1,3,Prosperity Bank,38274790,FDIC,High Satisfactory,Low Satisfactory,"Prosperity Bank(FDIC,3br,inv=High Satisfactory,svc=Low Satisfactory)"
852,Van Zandt,TX,5081,survey-weighted,1,1,Prosperity Bank,38274790,FDIC,High Satisfactory,Low Satisfactory,"Prosperity Bank(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory)"
853,Newton,MO,5075,survey-weighted,2,6,Great Southern Bank,5723662,FDIC,High Satisfactory,Low Satisfactory,"Great Southern Bank(FDIC,3br,inv=High Satisfactory,svc=Low Satisfactory); First Community Bank(FDIC,3br,inv=High Satisfactory,svc=Low Satisfactory)"
855,Sullivan,NY,5068,survey-weighted,1,5,Wayne Bank,2366498,FDIC,High Satisfactory,Low Satisfactory,"Wayne Bank(FDIC,5br,inv=High Satisfactory,svc=Low Satisfactory)"
857,Kerr,TX,5061,survey-weighted,4,8,Prosperity Bank,38274790,FDIC,High Satisfactory,Low Satisfactory,"Prosperity Bank(FDIC,2br,inv=High Satisfactory,svc=Low Satisfactory); CENTENNIAL BANK(FED,2br,inv=-,svc=Low Satisfactory); TEXAS REGIONAL BANK(FED,1br,inv=Low Satisfactory,svc=-); Security State Bank & Trust(FDIC,3br,inv=Low Satisfactory,svc=High Satisfactory)"
858,Carter,OK,5054,survey-weighted,3,5,SIMMONS BANK,26749112,FED,-,Low Satisfactory,"SIMMONS BANK(FED,1br,inv=-,svc=Low Satisfactory); BancFirst(FDIC+FED,3br,inv=High Satisfactory,svc=Low Satisfactory); International Bank of Commerce(FDIC,1br,inv=Outstanding,svc=Low Satisfactory)"
860,Lincoln,OR,5050,survey-weighted,1,2,1st Security Bank of Washington,2632273,FDIC,Outstanding,Low Satisfactory,"1st Security Bank of Washington(FDIC,2br,inv=Outstanding,svc=Low Satisfactory)"
862,Stafford,VA,5038,survey-weighted,1,3,Carter Bank & Trust,4446729,FDIC,Low Satisfactory,High Satisfactory,"Carter Bank & Trust(FDIC,3br,inv=Low Satisfactory,svc=High Satisfactory)"
863,Pike,MS,5028,survey-weighted,1,2,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,2br,inv=-,svc=Low Satisfactory)"
864,Muskogee,OK,5021,survey-weighted,2,6,BancFirst,9485506,FDIC+FED,High Satisfactory,Low Satisfactory,"BancFirst(FDIC+FED,2br,inv=High Satisfactory,svc=Low Satisfactory); Armstrong Bank(FDIC,4br,inv=High Satisfactory,svc=Low Satisfactory)"
867,Laurel,KY,5009,survey-weighted,1,5,COMMERCIAL BANK,2238247,FED,Low Satisfactory,Low Satisfactory,"COMMERCIAL BANK(FED,5br,inv=Low Satisfactory,svc=Low Satisfactory)"
868,Sauk,WI,5007,survey-weighted,1,1,Lake Ridge Bank,3178632,FDIC,High Satisfactory,Low Satisfactory,"Lake Ridge Bank(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory)"
870,Barrow,GA,5001,survey-weighted,2,8,Bank OZK,41606548,FDIC,Outstanding,Low Satisfactory,"Bank OZK(FDIC,5br,inv=Outstanding,svc=Low Satisfactory); Ameris Bank(FDIC,3br,inv=High Satisfactory,svc=Low Satisfactory)"
872,Huron,OH,4977,survey-weighted,1,5,CIVISTA BANK,3006039,FED,-,Low Satisfactory,"CIVISTA BANK(FED,5br,inv=-,svc=Low Satisfactory)"
874,Garfield,OK,4971,survey-weighted,2,2,INTERBANK,4193164,FED,Low Satisfactory,-,"INTERBANK(FED,1br,inv=Low Satisfactory,svc=-); EQUITY BANK(FED,1br,inv=Low Satisfactory,svc=Low Satisfactory)"
881,Lincoln Parish,LA,4936,survey-weighted,3,8,ORIGIN BANK,9882221,FED,Low Satisfactory,Low Satisfactory,"ORIGIN BANK(FED,6br,inv=Low Satisfactory,svc=Low Satisfactory); b1BANK(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory); First Guaranty Bank(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory)"
884,Burnet,TX,4916,survey-weighted,2,2,Prosperity Bank,38274790,FDIC,High Satisfactory,Low Satisfactory,"Prosperity Bank(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory); Security State Bank & Trust(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory)"
885,Reno,KS,4915,survey-weighted,2,5,SIMMONS BANK,26749112,FED,-,Low Satisfactory,"SIMMONS BANK(FED,1br,inv=-,svc=Low Satisfactory); RCB BANK(FED,4br,inv=Low Satisfactory,svc=Low Satisfactory)"
887,Erath,TX,4904,survey-weighted,2,5,INTERBANK,4193164,FED,Low Satisfactory,-,"INTERBANK(FED,4br,inv=Low Satisfactory,svc=-); City Bank(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory)"
889,Barren,KY,4888,survey-weighted,2,7,German American Bank,6144423,FDIC,Low Satisfactory,Low Satisfactory,"German American Bank(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory); South Central Bank,  Inc.(FDIC,6br,inv=Low Satisfactory,svc=Low Satisfactory)"
890,Ross,OH,4876,survey-weighted,1,1,Union Savings Bank,3391585,FDIC,High Satisfactory,Low Satisfactory,"Union Savings Bank(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory)"
891,Harlan,KY,4872,survey-weighted,1,2,COMMERCIAL BANK,2238247,FED,Low Satisfactory,Low Satisfactory,"COMMERCIAL BANK(FED,2br,inv=Low Satisfactory,svc=Low Satisfactory)"
892,Knox,KY,4872,survey-weighted,1,4,COMMERCIAL BANK,2238247,FED,Low Satisfactory,Low Satisfactory,"COMMERCIAL BANK(FED,4br,inv=Low Satisfactory,svc=Low Satisfactory)"
894,Troup,GA,4848,survey-weighted,1,1,Colony Bank,3091464,FDIC,Low Satisfactory,High Satisfactory,"Colony Bank(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory)"
895,Wharton,TX,4838,survey-weighted,1,5,Prosperity Bank,38274790,FDIC,High Satisfactory,Low Satisfactory,"Prosperity Bank(FDIC,5br,inv=High Satisfactory,svc=Low Satisfactory)"
897,Pontotoc,OK,4823,survey-weighted,1,1,SIMMONS BANK,26749112,FED,-,Low Satisfactory,"SIMMONS BANK(FED,1br,inv=-,svc=Low Satisfactory)"
898,Allegany,NY,4810,survey-weighted,1,1,FIRST CITIZENS COMMUNITY BANK,2208830,FED,Low Satisfactory,-,"FIRST CITIZENS COMMUNITY BANK(FED,1br,inv=Low Satisfactory,svc=-)"
899,Harrisonburg city,VA,4794,survey-weighted,2,2,Burke & Herbert Bank & Trust Company,3563307,FDIC,Low Satisfactory,High Satisfactory,"Burke & Herbert Bank & Trust Company(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory); FIRST BANK AND TRUST COMPANY THE(FED,1br,inv=Low Satisfactory,svc=Low Satisfactory)"
900,Somerset,PA,4790,survey-weighted,2,14,Somerset Trust Company,2315834,FDIC,Low Satisfactory,High Satisfactory,"Somerset Trust Company(FDIC,10br,inv=Low Satisfactory,svc=High Satisfactory); AMERISERV FINANCIAL BANK(FED,4br,inv=Low Satisfactory,svc=Low Satisfactory)"
901,Cherokee,TX,4786,survey-weighted,1,2,Prosperity Bank,38274790,FDIC,High Satisfactory,Low Satisfactory,"Prosperity Bank(FDIC,2br,inv=High Satisfactory,svc=Low Satisfactory)"
902,Rusk,TX,4786,survey-weighted,1,1,ORIGIN BANK,9882221,FED,Low Satisfactory,Low Satisfactory,"ORIGIN BANK(FED,1br,inv=Low Satisfactory,svc=Low Satisfactory)"
903,Dyer,TN,4784,survey-weighted,1,2,SIMMONS BANK,26749112,FED,-,Low Satisfactory,"SIMMONS BANK(FED,2br,inv=-,svc=Low Satisfactory)"
904,Obion,TN,4784,survey-weighted,1,3,SIMMONS BANK,26749112,FED,-,Low Satisfactory,"SIMMONS BANK(FED,3br,inv=-,svc=Low Satisfactory)"
905,Delaware,OK,4780,survey-weighted,2,2,BancFirst,9485506,FDIC+FED,High Satisfactory,Low Satisfactory,"BancFirst(FDIC+FED,1br,inv=High Satisfactory,svc=Low Satisfactory); RCB BANK(FED,1br,inv=Low Satisfactory,svc=Low Satisfactory)"
907,Poinsett,AR,4730,survey-weighted,2,2,SIMMONS BANK,26749112,FED,-,Low Satisfactory,"SIMMONS BANK(FED,1br,inv=-,svc=Low Satisfactory); First Community Bank(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory)"
909,Coffee,TN,4726,survey-weighted,2,3,SMARTBANK,4606198,FED,Low Satisfactory,Low Satisfactory,"SMARTBANK(FED,1br,inv=Low Satisfactory,svc=Low Satisfactory); Citizens Bank of Lafayette(FDIC,2br,inv=High Satisfactory,svc=Low Satisfactory)"
911,Henderson,KY,4724,survey-weighted,2,3,German American Bank,6144423,FDIC,Low Satisfactory,Low Satisfactory,"German American Bank(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory); INDEPENDENCE BANK OF KENTUCKY(FED,2br,inv=-,svc=Low Satisfactory)"
912,Allegany,MD,4724,survey-weighted,1,2,Somerset Trust Company,2315834,FDIC,Low Satisfactory,High Satisfactory,"Somerset Trust Company(FDIC,2br,inv=Low Satisfactory,svc=High Satisfactory)"
914,Jackson,GA,4723,survey-weighted,3,4,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,2br,inv=-,svc=Low Satisfactory); Bank OZK(FDIC,1br,inv=Outstanding,svc=Low Satisfactory); Pinnacle Bank(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory)"
915,Sunflower,MS,4710,survey-weighted,1,1,Community Bank of Mississippi,4608467,FDIC,Low Satisfactory,High Satisfactory,"Community Bank of Mississippi(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory)"
917,Pottawatomie,OK,4697,survey-weighted,2,6,BancFirst,9485506,FDIC+FED,High Satisfactory,Low Satisfactory,"BancFirst(FDIC+FED,5br,inv=High Satisfactory,svc=Low Satisfactory); International Bank of Commerce(FDIC,1br,inv=Outstanding,svc=Low Satisfactory)"
918,Howell,MO,4696,survey-weighted,2,4,SIMMONS BANK,26749112,FED,-,Low Satisfactory,"SIMMONS BANK(FED,3br,inv=-,svc=Low Satisfactory); Great Southern Bank(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory)"
919,Oldham,KY,4686,survey-weighted,1,1,German American Bank,6144423,FDIC,Low Satisfactory,Low Satisfactory,"German American Bank(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory)"
921,Warren,MS,4672,survey-weighted,1,1,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,1br,inv=-,svc=Low Satisfactory)"
923,Autauga,AL,4664,survey-weighted,1,1,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,1br,inv=-,svc=Low Satisfactory)"
925,Lapeer,MI,4654,survey-weighted,1,8,CHOICEONE BANK,2724240,FED,Low Satisfactory,Low Satisfactory,"CHOICEONE BANK(FED,8br,inv=Low Satisfactory,svc=Low Satisfactory)"
927,Dougherty,GA,4635,survey-weighted,3,5,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,3br,inv=-,svc=Low Satisfactory); Ameris Bank(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory); Colony Bank(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory)"
928,Gibson,TN,4631,survey-weighted,2,2,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,1br,inv=-,svc=Low Satisfactory); SIMMONS BANK(FED,1br,inv=-,svc=Low Satisfactory)"
929,Madison,ID,4628,survey-weighted,2,3,D. L. Evans Bank,3071088,FDIC,Low Satisfactory,High Satisfactory,"D. L. Evans Bank(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory); The Bank of Commerce(FDIC,2br,inv=Low Satisfactory,svc=High Satisfactory)"
931,Lincoln,SD,4600,survey-weighted,2,3,FIRST PREMIER BANK,3503723,FED,Low Satisfactory,-,"FIRST PREMIER BANK(FED,1br,inv=Low Satisfactory,svc=-); CENTRAL BANK(FED,2br,inv=Low Satisfactory,svc=-)"
934,Bartholomew,IN,4588,survey-weighted,3,6,Horizon Bank,7621571,FDIC,Low Satisfactory,High Satisfactory,"Horizon Bank(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory); German American Bank(FDIC,4br,inv=Low Satisfactory,svc=Low Satisfactory); Union Savings Bank(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory)"
938,Campbell,VA,4575,survey-weighted,1,1,Carter Bank & Trust,4446729,FDIC,Low Satisfactory,High Satisfactory,"Carter Bank & Trust(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory)"
939,Giles,TN,4572,survey-weighted,1,1,FIRST FARMERS AND MERCHANTS BANK,1763096,FED,Low Satisfactory,Low Satisfactory,"FIRST FARMERS AND MERCHANTS BANK(FED,1br,inv=Low Satisfactory,svc=Low Satisfactory)"
940,Adams,MS,4571,survey-weighted,1,3,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,3br,inv=-,svc=Low Satisfactory)"
941,Lincoln,MS,4571,survey-weighted,3,4,Bank OZK,41606548,FDIC,Outstanding,Low Satisfactory,"Bank OZK(FDIC,1br,inv=Outstanding,svc=Low Satisfactory); BankPlus(FDIC,2br,inv=Outstanding,svc=Low Satisfactory); BANKFIRST FINANCIAL SERVICES(FED,1br,inv=Low Satisfactory,svc=-)"
942,Medina,TX,4570,survey-weighted,1,1,American Momentum Bank,2579369,FDIC,High Satisfactory,Low Satisfactory,"American Momentum Bank(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory)"
945,Bee,TX,4567,survey-weighted,2,2,Prosperity Bank,38274790,FDIC,High Satisfactory,Low Satisfactory,"Prosperity Bank(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory); SIMMONS BANK(FED,1br,inv=-,svc=Low Satisfactory)"
946,Hoke,NC,4560,survey-weighted,1,1,The Fidelity Bank,4263695,FDIC,Low Satisfactory,Low Satisfactory,"The Fidelity Bank(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory)"
948,Island,WA,4537,survey-weighted,2,7,Heritage Bank,7233406,FDIC,High Satisfactory,Low Satisfactory,"Heritage Bank(FDIC,5br,inv=High Satisfactory,svc=Low Satisfactory); Peoples Bank(FDIC,2br,inv=High Satisfactory,svc=Low Satisfactory)"
950,Grays Harbor,WA,4526,survey-weighted,2,12,1st Security Bank of Washington,2632273,FDIC,Outstanding,Low Satisfactory,"1st Security Bank of Washington(FDIC,6br,inv=Outstanding,svc=Low Satisfactory); Timberland Bank(FDIC,6br,inv=High Satisfactory,svc=Low Satisfactory)"
951,Burleigh,ND,4525,survey-weighted,3,7,First International Bank & Trust,4876751,FDIC,Low Satisfactory,Low Satisfactory,"First International Bank & Trust(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory); FIRST WESTERN BANK AND TRUST(FED,2br,inv=Low Satisfactory,svc=Low Satisfactory); Starion Bank(FDIC,4br,inv=Low Satisfactory,svc=Low Satisfactory)"
953,Fayette,TN,4520,survey-weighted,1,1,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,1br,inv=-,svc=Low Satisfactory)"
955,Cooke,TX,4513,survey-weighted,3,7,Prosperity Bank,38274790,FDIC,High Satisfactory,Low Satisfactory,"Prosperity Bank(FDIC,2br,inv=High Satisfactory,svc=Low Satisfactory); SIMMONS BANK(FED,1br,inv=-,svc=Low Satisfactory); FIRST STATE BANK(FED,4br,inv=Needs to Improve,svc=-)"
958,Mecosta,MI,4508,survey-weighted,1,1,Horizon Bank,7621571,FDIC,Low Satisfactory,High Satisfactory,"Horizon Bank(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory)"
960,Columbia,PA,4473,survey-weighted,1,5,First Keystone Community Bank,1308680,FDIC,Low Satisfactory,Low Satisfactory,"First Keystone Community Bank(FDIC,5br,inv=Low Satisfactory,svc=Low Satisfactory)"
964,Overton,TN,4462,survey-weighted,1,1,Citizens Bank of Lafayette,1659215,FDIC,High Satisfactory,Low Satisfactory,"Citizens Bank of Lafayette(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory)"
965,Mercer,WV,4461,survey-weighted,2,10,Burke & Herbert Bank & Trust Company,3563307,FDIC,Low Satisfactory,High Satisfactory,"Burke & Herbert Bank & Trust Company(FDIC,4br,inv=Low Satisfactory,svc=High Satisfactory); FIRST COMMUNITY BANK(FED,6br,inv=-,svc=Low Satisfactory)"
967,Johnson,MO,4459,survey-weighted,2,4,CENTRAL TRUST BANK THE,19551204,FED,Low Satisfactory,-,"CENTRAL TRUST BANK THE(FED,2br,inv=Low Satisfactory,svc=-); EQUITY BANK(FED,2br,inv=Low Satisfactory,svc=Low Satisfactory)"
970,Waller,TX,4435,survey-weighted,1,2,Prosperity Bank,38274790,FDIC,High Satisfactory,Low Satisfactory,"Prosperity Bank(FDIC,2br,inv=High Satisfactory,svc=Low Satisfactory)"
971,Mississippi,AR,4434,survey-weighted,1,1,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,1br,inv=-,svc=Low Satisfactory)"
972,Pike,PA,4415,survey-weighted,1,2,Wayne Bank,2366498,FDIC,High Satisfactory,Low Satisfactory,"Wayne Bank(FDIC,2br,inv=High Satisfactory,svc=Low Satisfactory)"
974,Cocke,TN,4404,survey-weighted,1,2,COMMERCIAL BANK,2238247,FED,Low Satisfactory,Low Satisfactory,"COMMERCIAL BANK(FED,2br,inv=Low Satisfactory,svc=Low Satisfactory)"
975,Coffee,GA,4400,survey-weighted,2,4,Ameris Bank,23591556,FDIC,High Satisfactory,Low Satisfactory,"Ameris Bank(FDIC,2br,inv=High Satisfactory,svc=Low Satisfactory); Colony Bank(FDIC,2br,inv=Low Satisfactory,svc=High Satisfactory)"
980,Wabash,IN,4382,survey-weighted,1,1,FIRST FARMERS BANK & TRUST CO.,2298100,FED,Low Satisfactory,-,"FIRST FARMERS BANK & TRUST CO.(FED,1br,inv=Low Satisfactory,svc=-)"
983,Skagit,WA,4366,survey-weighted,2,7,Heritage Bank,7233406,FDIC,High Satisfactory,Low Satisfactory,"Heritage Bank(FDIC,3br,inv=High Satisfactory,svc=Low Satisfactory); Peoples Bank(FDIC,4br,inv=High Satisfactory,svc=Low Satisfactory)"
985,Wood,TX,4355,survey-weighted,2,4,Prosperity Bank,38274790,FDIC,High Satisfactory,Low Satisfactory,"Prosperity Bank(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory); ORIGIN BANK(FED,3br,inv=Low Satisfactory,svc=Low Satisfactory)"
986,Cape May,NJ,4355,survey-weighted,1,1,UNIVEST BANK AND TRUST CO.,6892885,FED,-,Low Satisfactory,"UNIVEST BANK AND TRUST CO.(FED,1br,inv=-,svc=Low Satisfactory)"
987,Logan,OK,4355,survey-weighted,3,5,BancFirst,9485506,FDIC+FED,High Satisfactory,Low Satisfactory,"BancFirst(FDIC+FED,2br,inv=High Satisfactory,svc=Low Satisfactory); INTERBANK(FED,2br,inv=Low Satisfactory,svc=-); International Bank of Commerce(FDIC,1br,inv=Outstanding,svc=Low Satisfactory)"
989,Washington,OK,4340,survey-weighted,3,4,BancFirst,9485506,FDIC+FED,High Satisfactory,Low Satisfactory,"BancFirst(FDIC+FED,2br,inv=High Satisfactory,svc=Low Satisfactory); RCB BANK(FED,1br,inv=Low Satisfactory,svc=Low Satisfactory); Armstrong Bank(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory)"
990,Roane,TN,4331,survey-weighted,1,1,SIMMONS BANK,26749112,FED,-,Low Satisfactory,"SIMMONS BANK(FED,1br,inv=-,svc=Low Satisfactory)"
991,Coahoma,MS,4319,survey-weighted,1,1,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,1br,inv=-,svc=Low Satisfactory)"
992,Cayuga,NY,4318,survey-weighted,2,3,Tompkins Community Bank,7842153,FDIC,Low Satisfactory,High Satisfactory,"Tompkins Community Bank(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory); CHEMUNG CANAL TRUST COMPANY(FED,2br,inv=Low Satisfactory,svc=-)"
993,Marshall,IN,4304,survey-weighted,2,4,LAKE CITY BANK,6412535,FED,Low Satisfactory,-,"LAKE CITY BANK(FED,3br,inv=Low Satisfactory,svc=-); FIRST FARMERS BANK & TRUST CO.(FED,1br,inv=Low Satisfactory,svc=-)"
994,Caldwell,TX,4299,survey-weighted,1,1,Bank OZK,41606548,FDIC,Outstanding,Low Satisfactory,"Bank OZK(FDIC,1br,inv=Outstanding,svc=Low Satisfactory)"
995,Scott,MO,4298,survey-weighted,2,2,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,1br,inv=-,svc=Low Satisfactory); The Bank of Missouri(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory)"
996,Hardin,TX,4296,survey-weighted,1,2,Prosperity Bank,38274790,FDIC,High Satisfactory,Low Satisfactory,"Prosperity Bank(FDIC,2br,inv=High Satisfactory,svc=Low Satisfactory)"
997,Tift,GA,4293,survey-weighted,2,5,Ameris Bank,23591556,FDIC,High Satisfactory,Low Satisfactory,"Ameris Bank(FDIC,4br,inv=High Satisfactory,svc=Low Satisfactory); Colony Bank(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory)"
998,Geary,KS,4291,survey-weighted,1,1,KS StateBank,2437059,FDIC,Low Satisfactory,High Satisfactory,"KS StateBank(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory)"
1000,Pittsburg,OK,4283,survey-weighted,1,2,BancFirst,9485506,FDIC+FED,High Satisfactory,Low Satisfactory,"BancFirst(FDIC+FED,2br,inv=High Satisfactory,svc=Low Satisfactory)"
1001,Beaufort,NC,4276,survey-weighted,1,1,Southern Bank and Trust Company,4758607,FDIC,High Satisfactory,Low Satisfactory,"Southern Bank and Trust Company(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory)"
1002,Carroll,AR,4276,survey-weighted,1,2,EQUITY BANK,3862184,FED,Low Satisfactory,Low Satisfactory,"EQUITY BANK(FED,2br,inv=Low Satisfactory,svc=Low Satisfactory)"
1003,Saline,KS,4273,survey-weighted,1,2,EQUITY BANK,3862184,FED,Low Satisfactory,Low Satisfactory,"EQUITY BANK(FED,2br,inv=Low Satisfactory,svc=Low Satisfactory)"
1006,Newport,RI,4238,survey-weighted,2,10,BROOKLINE BANK,4966140,FED,Low Satisfactory,Low Satisfactory,"BROOKLINE BANK(FED,4br,inv=Low Satisfactory,svc=Low Satisfactory); BANKNEWPORT(FED,6br,inv=Low Satisfactory,svc=-)"
1007,Morgan,IN,4237,survey-weighted,1,1,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,1br,inv=-,svc=Low Satisfactory)"
1008,Grady,OK,4227,survey-weighted,2,2,SIMMONS BANK,26749112,FED,-,Low Satisfactory,"SIMMONS BANK(FED,1br,inv=-,svc=Low Satisfactory); International Bank of Commerce(FDIC,1br,inv=Outstanding,svc=Low Satisfactory)"
1009,Ozaukee,WI,4223,survey-weighted,2,4,North Shore Bank,2569494,FDIC,Low Satisfactory,High Satisfactory,"North Shore Bank(FDIC,2br,inv=Low Satisfactory,svc=High Satisfactory); Bank Five Nine(FDIC,2br,inv=Low Satisfactory,svc=High Satisfactory)"
1012,Robertson,TN,4217,survey-weighted,2,2,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,1br,inv=-,svc=Low Satisfactory); SIMMONS BANK(FED,1br,inv=-,svc=Low Satisfactory)"
1015,Fremont,WY,4194,survey-weighted,1,1,NBH BANK,6948775,FED,-,Low Satisfactory,"NBH BANK(FED,1br,inv=-,svc=Low Satisfactory)"
1016,Richmond,NC,4180,survey-weighted,1,1,The Fidelity Bank,4263695,FDIC,Low Satisfactory,Low Satisfactory,"The Fidelity Bank(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory)"
1017,Wise,TX,4171,survey-weighted,2,2,Prosperity Bank,38274790,FDIC,High Satisfactory,Low Satisfactory,"Prosperity Bank(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory); FIRST STATE BANK(FED,1br,inv=Needs to Improve,svc=-)"
1020,Manassas city,VA,4166,survey-weighted,1,2,Burke & Herbert Bank & Trust Company,3563307,FDIC,Low Satisfactory,High Satisfactory,"Burke & Herbert Bank & Trust Company(FDIC,2br,inv=Low Satisfactory,svc=High Satisfactory)"
1022,Tuolumne,CA,4154,MODELED,1,1,Bank of Stockton,4320510,FDIC,Low Satisfactory,High Satisfactory,"Bank of Stockton(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory)"
1027,Dearborn,IN,4148,survey-weighted,1,5,CIVISTA BANK,3006039,FED,-,Low Satisfactory,"CIVISTA BANK(FED,5br,inv=-,svc=Low Satisfactory)"
1031,Habersham,GA,4128,survey-weighted,3,4,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,1br,inv=-,svc=Low Satisfactory); Bank OZK(FDIC,1br,inv=Outstanding,svc=Low Satisfactory); Pinnacle Bank(FDIC,2br,inv=Low Satisfactory,svc=High Satisfactory)"
1036,Navarro,TX,4107,survey-weighted,1,3,Prosperity Bank,38274790,FDIC,High Satisfactory,Low Satisfactory,"Prosperity Bank(FDIC,3br,inv=High Satisfactory,svc=Low Satisfactory)"
