cert,name,city,state,overall,pub_date,assets_k,lending,investment,service,file_id,active,end_date
28116,Yakima Federal Savings and Loan Association,YAKIMA,WA,Satisfactory,03/01/2024,1984560,Low Satisfactory,High Satisfactory,Low Satisfactory,2023/28116_231024.PDF,1,
26856,Falcon International Bank,LAREDO,TX,Satisfactory,02/01/2024,1975494,High Satisfactory,High Satisfactory,Low Satisfactory,2023/26856_231016.PDF,1,
26336,The Village Bank,AUBURNDALE,MA,Satisfactory,11/01/2024,1946483,Low Satisfactory,Low Satisfactory,Low Satisfactory,2024/26336_240520.PDF,1,
58513,The Bank of Princeton,PRINCETON,NJ,Satisfactory,11/01/2024,1916497,Low Satisfactory,High Satisfactory,Low Satisfactory,2024/58513_240422.PDF,1,
28453,Timberland Bank,HOQUIAM,WA,Satisfactory,01/01/2025,1906715,Low Satisfactory,High Satisfactory,Low Satisfactory,2024/28453_240806.PDF,1,
3440,First Northern Bank of Dixon,DIXON,CA,Satisfactory,09/01/2023,1903284,High Satisfactory,Low Satisfactory,High Satisfactory,2023/3440_230508.PDF,1,
14207,Lincoln Savings Bank,REINBECK,IA,Satisfactory,12/01/2023,1883919,High Satisfactory,Low Satisfactory,Low Satisfactory,2023/14207_230803.PDF,1,
21573,Bank of Tennessee,KINGSPORT,TN,Satisfactory,11/01/2024,1875869,Low Satisfactory,Low Satisfactory,Low Satisfactory,2024/21573_240520.PDF,1,
7714,QNB Bank,QUAKERTOWN,PA,Satisfactory,01/01/2026,1873899,High Satisfactory,Low Satisfactory,High Satisfactory,2025/7714_250721.PDF,1,
12517,Bank Five Nine,OCONOMOWOC,WI,Satisfactory,06/01/2024,1850194,High Satisfactory,Low Satisfactory,High Satisfactory,2024/12517_240108.PDF,1,
5854,"South Central Bank,  Inc.",GLASGOW,KY,Satisfactory,08/01/2025,1845172,Low Satisfactory,Low Satisfactory,Low Satisfactory,2024/5854_241028.PDF,1,
33188,Shinhan Bank America,NEW YORK,NY,Satisfactory,02/01/2025,1841066,Low Satisfactory,Low Satisfactory,Low Satisfactory,2024/33188_240729.PDF,1,
18402,Blackhawk Bank & Trust,MILAN,IL,Satisfactory,04/01/2025,1835223,Low Satisfactory,Low Satisfactory,Low Satisfactory,2024/18402_240923.PDF,1,
57777,Meridian Bank,PAOLI,PA,Satisfactory,07/01/2023,1831464,,Substantial Non Complianc,Substantial Non Complianc,2022/57777_221129.PDF,1,
8405,Farmers and Merchants Trust Company of Chambersburg,CHAMBERSBURG,PA,Satisfactory,05/01/2024,1827377,High Satisfactory,Low Satisfactory,High Satisfactory,2023/8405_231128.PDF,1,
10619,Hawthorn Bank,JEFFERSON CITY,MO,Satisfactory,11/01/2024,1825851,High Satisfactory,High Satisfactory,Low Satisfactory,2024/10619_240429.PDF,1,
9978,First State Bank of Uvalde,UVALDE,TX,Satisfactory,12/01/2025,1823649,Low Satisfactory,Outstanding,Low Satisfactory,2025/9978_250804.PDF,1,
15995,PCSB Bank,BREWSTER,NY,Satisfactory,06/01/2021,1788574,Low Satisfactory,High Satisfactory,Low Satisfactory,2021/15995_210119.PDF,0,09/02/2025
2240,First American Bank,ARTESIA,NM,Satisfactory,05/01/2025,1779138,High Satisfactory,Outstanding,Low Satisfactory,2024/2240_241028.PDF,1,
57228,Embassy Bank for the Lehigh Valley,BETHLEHEM,PA,Satisfactory,10/01/2025,1754946,Low Satisfactory,Low Satisfactory,High Satisfactory,2025/57228_250505.PDF,1,
34047,First Community Bank,LEXINGTON,SC,Satisfactory,11/01/2023,1735147,Low Satisfactory,Low Satisfactory,Low Satisfactory,2023/34047_230626.PDF,1,
33758,Starion Bank,BISMARCK,ND,Satisfactory,08/01/2023,1720130,Low Satisfactory,Low Satisfactory,Low Satisfactory,2023/33758_230320.PDF,1,
26484,"North Shore Bank, a Co-operative Bank",PEABODY,MA,Satisfactory,02/01/2023,1665529,,Substantial Non Complianc,Substantial Non Complianc,2022/26484_220725.PDF,1,
1711,Citizens Bank of Lafayette,LAFAYETTE,TN,Satisfactory,07/01/2025,1659215,Low Satisfactory,High Satisfactory,Low Satisfactory,2024/1711_241216.PDF,1,
5956,Peoples Bank,NEWTON,NC,Satisfactory,12/01/2023,1620439,Low Satisfactory,Low Satisfactory,High Satisfactory,2023/5956_230511.PDF,1,
18258,Thomaston Savings Bank,THOMASTON,CT,Satisfactory,10/01/2023,1583298,High Satisfactory,Low Satisfactory,High Satisfactory,2022/18258_220829.PDF,1,
59093,International Bank of Commerce,OKLAHOMA CITY,OK,Satisfactory,01/01/2025,1548823,High Satisfactory,Outstanding,Low Satisfactory,2024/59093_240624.PDF,1,
34726,New Mexico Bank & Trust,ALBUQUERQUE,NM,Satisfactory,10/01/2019,1500024,High Satisfactory,Low Satisfactory,High Satisfactory,2019/34726_190603.PDF,0,08/18/2023
7404,First Keystone Community Bank,BERWICK,PA,Satisfactory,11/01/2023,1308680,High Satisfactory,Low Satisfactory,Low Satisfactory,2023/7404_230620.PDF,1,
18467,Salisbury Bank and Trust Company,LAKEVILLE,CT,Satisfactory,07/01/2020,1112449,High Satisfactory,Low Satisfactory,Low Satisfactory,2020/18467_200121.PDF,0,08/12/2023
15990,Watertown Savings Bank,WATERTOWN,NY,Satisfactory,11/01/2025,925416,Low Satisfactory,Low Satisfactory,Outstanding,2025/15990_250714.PDF,1,
11113,Hamlin Bank and Trust Company,SMETHPORT,PA,Satisfactory,01/01/2025,421614,High Satisfactory,Low Satisfactory,Low Satisfactory,2024/11113_240715.PDF,1,
