FIPS,State,County,GROCPTH16,GROCPTH20,PCH_GROCPTH_16_20,SUPERCPTH16,SUPERCPTH20,PCH_SUPERCPTH_16_20,CONVSPTH16,CONVSPTH20,PCH_CONVSPTH_16_20,SNAPSPTH17,SNAPSPTH23,PCH_SNAPSPTH_17_23,LACCESS_POP15,LACCESS_POP19,PCH_LACCESS_POP_15_19,PCT_LACCESS_POP15,PCT_LACCESS_POP19,PCT_SNAP17,PCT_SNAP22
6021,CA,Glenn,0.2878111898899078,0.2121415734291077,-26.2914087842606,0.03597639873623848,-9999.0,-9999.0,0.5756223797798157,0.3889262080192566,-32.43379311137507,1.139033245532854,1.256237626075745,10.2898120880127,6593.206192532094,6593.206192532107,1.931219127757761e-13,23.44501113891602,23.44501113891602,10.40064266441573,11.66618694212165
6023,CA,Humboldt,0.3517076075077057,0.2963467836380005,-15.74058186059916,0.0146544836461544,0.02963467873632908,102.2226060766443,0.2784352004528046,0.4222941696643829,51.66694763364261,0.9396434473580298,1.07248842716217,14.13780689239502,18048.96652694987,15059.29603946902,-16.5642204284668,13.40704536437988,11.18627262115479,10.40064266441573,11.66618694212165
6025,CA,Imperial,0.1945730745792389,0.1386831700801849,-28.72437752238585,0.02223692275583744,0.02773663587868214,24.73234801070197,0.3502315282821655,0.4105021953582764,17.20880680609471,0.633557585370745,0.7294880151748657,15.14154815673828,30032.16292664253,30788.68757895424,2.51904821395874,17.2076473236084,17.64111709594727,10.40064266441573,11.66618694212165
6027,CA,Inyo,0.2793764173984528,0.2216557711362839,-20.66052918841981,-9999.0,-9999.0,-9999.0,0.8940045833587646,0.831209123134613,-7.024064685242415,0.9107215503531935,1.168410420417786,28.29502296447754,5366.186818518685,5357.550499080986,-0.1609396040439606,28.93446922302246,28.88790321350098,10.40064266441573,11.66618694212165
6029,CA,Kern,0.212236151099205,0.2119015455245972,-0.1576572006582677,0.00907962117344141,0.01775091513991356,95.5028167016081,0.3223265707492828,0.3062032759189606,-5.002161253055226,0.7889019641652827,0.8600888848304749,9.023544311523438,186009.1957398808,199599.9152179752,7.306477069854736,22.15368461608887,23.77233695983887,10.40064266441573,11.66618694212165
6031,CA,Kings,0.1875808089971542,0.2554161250591278,36.16324954809353,0.01339862961322069,0.0196473952382803,46.6373487844893,0.2880705296993256,0.3405548334121704,18.21925476640234,0.7400572503403264,0.7671376466751099,3.65922999382019,46915.07104236171,50527.95365061299,7.700899600982666,30.66705322265625,33.02869033813477,10.40064266441573,11.66618694212165
6033,CA,Lake,0.3755163252353668,0.3722141981124878,-0.8793564755964489,-9999.0,-9999.0,-9999.0,0.4850419461727142,0.4807766973972321,-0.8793566843316669,0.9494754537247456,1.058449983596802,11.47734069824219,2747.447691021733,2701.422093910327,-1.675212860107422,4.248739719390869,4.17756462097168,10.40064266441573,11.66618694212165
6035,CA,Lassen,0.2279016822576523,0.233208954334259,2.328755112306125,-9999.0,-9999.0,-9999.0,0.4558033645153046,0.4331023395061493,-4.980442615489522,0.751425301372354,1.035359025001526,37.7860221862793,9725.486084388964,11128.61293111299,14.42731857299805,27.8707160949707,31.8917121887207,10.40064266441573,11.66618694212165
6037,CA,Los Angeles,0.196139320731163,0.1918929070234299,-2.164998681500219,0.005547374952584505,0.01609164848923683,190.0768133897238,0.1945543587207794,0.2162315249443054,11.14195866186511,0.6014492176109419,0.6336113810539246,5.347444534301758,682406.6579895184,641340.3436393556,-6.017865657806396,6.950138568878174,6.531888484954834,10.40064266441573,11.66618694212165
6039,CA,Madera,0.2472445219755173,0.171144962310791,-30.77906804837593,-9999.0,-9999.0,-9999.0,0.3643603622913361,0.3739834427833557,2.641088737398167,0.8525081267129837,0.9666566848754883,13.38973236083984,20481.28281691405,21866.79763904109,6.764785289764404,13.57590103149414,14.49428176879883,10.40064266441573,11.66618694212165
