Record_ID,Store_Name,Store_Street_Address,Additonal_Address,City,State,Zip_Code,Zip4,County,Store_Type,Latitude,Longitude,Incentive_Program,Grantee_Name,ObjectId
894006,CVS Pharmacy 3914,11655 Duenda Rd B1/B2,,San Diego,CA,92127,1110,SAN DIEGO,Other,33.033195,-117.07924,,,88587
1061716,Dollar General Market 13592,310 W Dr Martin Luther King Jr Blvd,,Stockton,CA,95206,    ,SAN JOAQUIN,Super Store,37.937843,-121.29144,,,88592
894407,Stater Bros. Markets 187,29995 Canyon Hills Rd,,Lake Elsinore,CA,92532,2576,RIVERSIDE,Supermarket,33.666241,-117.26242,,,88595
913962,Walgreens 07326,423 N Santa Cruz Ave,,Los Gatos,CA,95030,5320,SANTA CLARA,Other,37.230194,-121.98128,,,88596
1061774,Golden State Mobil,3200 F St,,Bakersfield,CA,93301,1826,KERN,Convenience Store,35.389179,-119.0234,,,88598
1589574,76,2790 W Lincoln Ave,,Anaheim,CA,92801,6333,ORANGE,Convenience Store,33.831783,-117.98449,,,88601
913963,Walgreens 04559,227 Shoreline Hwy,,Mill Valley,CA,94941,3678,MARIN,Other,37.880527,-122.52399,,,88602
894012,CVS Pharmacy 9815,738 Bancroft Rd,,Walnut Creek,CA,94598,1593,CONTRA COSTA,Other,37.928555,-122.04169,,,88611
913965,Walgreens 04516,745 E Dunne Ave,,Morgan Hill,CA,95037,4601,SANTA CLARA,Other,37.129566,-121.63887,,,88614
913966,Walgreens 01109,5260 Diamond Heights Blvd,,San Francisco,CA,94131,2118,SAN FRANCISCO,Other,37.743572,-122.43895,,,88619
894016,CVS Pharmacy 7506,1496 East Ave,,Chico,CA,95926,1610,BUTTE,Other,39.761196,-121.81591,,,88622
894018,CVS Pharmacy 9632,691 3rd Ave,,Chula Vista,CA,91910,5703,SAN DIEGO,Other,32.627983,-117.07464,,,88628
894021,CVS Pharmacy 2290,1587 W El Camino Ave,,Sacramento,CA,95833,1992,SACRAMENTO,Other,38.612846,-121.49621,,,88634
894025,CVS Pharmacy 3911,1060 E Cypress Ave,,Redding,CA,96002,1114,SHASTA,Other,40.572712,-122.35207,,,88646
894028,CVS Pharmacy 9830,6632 Pacific Ave,,Stockton,CA,95207,3720,SAN JOAQUIN,Other,38.010811,-121.32014,,,88651
894034,CVS Pharmacy 9203,580 Moraga Rd,,Moraga,CA,94556,2211,CONTRA COSTA,Other,37.856529,-122.12458,,,88657
894040,CVS Pharmacy 9219,330 Bon Air Shopping Ctr,,Greenbrae,CA,94904,3017,MARIN,Other,37.945599,-122.52259,,,88669
894052,CVS Pharmacy 9894,10455 S de Anza Blvd,,Cupertino,CA,95014,3080,SANTA CLARA,Other,37.316601,-122.0338,,,88697
894061,CVS Pharmacy 9914,2140 Grass Valley Hwy,,Auburn,CA,95603,2522,PLACER,Other,38.933964,-121.09015,,,88709
894063,CVS Pharmacy 9982,750 Blossom Hill Rd,,Los Gatos,CA,95032,3503,SANTA CLARA,Other,37.235374,-121.96142,,,88715
