geoid,county,state,pop_poverty_universe,pop_under_130_fpl,pop_under_200_fpl,snap_hh,poor_hh,eligible_unenrolled,method
24019,"Dorchester County, MD",MD,32261,7268,11365,2849.0,2255.0,772,FNS state total allocated by share of under-130% FPL population
21069,"Fleming County, KY",KY,15265,4650,6919,1192.0,1313.0,767,FNS state total allocated by share of under-130% FPL population
48145,"Falls County, TX",TX,15293,4304,6236,835.0,1054.0,767,FNS state total allocated by share of under-130% FPL population
21167,"Mercer County, KY",KY,22734,4602,6891,1004.0,1051.0,759,FNS state total allocated by share of under-130% FPL population
56029,"Park County, WY",WY,29560,3696,8541,474.0,1089.0,758,FNS state total allocated by share of under-130% FPL population
21127,"Lawrence County, KY",KY,15943,4584,7191,1621.0,1556.0,756,FNS state total allocated by share of under-130% FPL population
21155,"Marion County, KY",KY,18993,4584,7150,1183.0,1362.0,756,FNS state total allocated by share of under-130% FPL population
37135,"Orange County, NC",NC,138079,22402,34238,3352.0,7359.0,753,FNS state total allocated by share of under-130% FPL population
13069,"Coffee County, GA",GA,39625,11961,18210,3067.0,3796.0,752,FNS state total allocated by share of under-130% FPL population
12123,"Taylor County, FL",FL,18888,5171,8801,1351.0,1350.0,750,FNS state total allocated by share of under-130% FPL population
29031,"Cape Girardeau County, MO",MO,78993,15092,25324,3166.0,4743.0,750,FNS state total allocated by share of under-130% FPL population
22033,"East Baton Rouge Parish, LA",LA,437539,107382,160109,28210.0,34153.0,749,FNS state total allocated by share of under-130% FPL population
23011,"Kennebec County, ME",ME,122546,19877,35628,7402.0,6494.0,747,FNS state total allocated by share of under-130% FPL population
51035,"Carroll County, VA",VA,28897,6278,10980,1903.0,1971.0,746,FNS state total allocated by share of under-130% FPL population
16053,"Jerome County, ID",ID,24970,5068,9544,626.0,1106.0,745,FNS state total allocated by share of under-130% FPL population
21183,"Ohio County, KY",KY,23269,4511,9399,1223.0,1183.0,744,FNS state total allocated by share of under-130% FPL population
47077,"Henderson County, TN",TN,27511,6998,11943,1802.0,1883.0,744,FNS state total allocated by share of under-130% FPL population
01001,"Autauga County, AL",AL,59480,9737,17108,2116.0,2287.0,742,FNS state total allocated by share of under-130% FPL population
37045,"Cleveland County, NC",NC,99001,22089,39242,8280.0,6293.0,742,FNS state total allocated by share of under-130% FPL population
21185,"Oldham County, KY",KY,65236,4493,8365,774.0,1314.0,741,FNS state total allocated by share of under-130% FPL population
49045,"Tooele County, UT",UT,78583,6389,14724,1632.0,1340.0,741,FNS state total allocated by share of under-130% FPL population
51187,"Warren County, VA",VA,40485,6237,11184,1609.0,1743.0,741,FNS state total allocated by share of under-130% FPL population
51155,"Pulaski County, VA",VA,32448,6219,10005,2239.0,2158.0,739,FNS state total allocated by share of under-130% FPL population
21081,"Grant County, KY",KY,25067,4461,7915,1128.0,1360.0,736,FNS state total allocated by share of under-130% FPL population
46102,"Oglala Lakota County, SD",SD,13165,8235,10484,1446.0,1532.0,734,FNS state total allocated by share of under-130% FPL population
48219,"Hockley County, TX",TX,20814,4118,7975,946.0,1173.0,734,FNS state total allocated by share of under-130% FPL population
51109,"Louisa County, VA",VA,39766,6161,10464,1774.0,1628.0,732,FNS state total allocated by share of under-130% FPL population
48127,"Dimmit County, TX",TX,8247,4100,5141,774.0,1187.0,731,FNS state total allocated by share of under-130% FPL population
21163,"Meade County, KY",KY,29887,4422,8004,1261.0,1463.0,730,FNS state total allocated by share of under-130% FPL population
37195,"Wilson County, NC",NC,78000,21726,32079,6000.0,6292.0,730,FNS state total allocated by share of under-130% FPL population
47017,"Carroll County, TN",TN,27535,6860,10616,1438.0,1911.0,730,FNS state total allocated by share of under-130% FPL population
20125,"Montgomery County, KS",KS,30025,6742,11680,1510.0,2218.0,727,FNS state total allocated by share of under-130% FPL population
28131,"Stone County, MS",MS,18213,3720,6155,1040.0,1077.0,726,FNS state total allocated by share of under-130% FPL population
01021,"Chilton County, AL",AL,45391,9524,16406,2613.0,2584.0,725,FNS state total allocated by share of under-130% FPL population
40027,"Cleveland County, OK",OK,286964,49963,84791,11590.0,14569.0,725,FNS state total allocated by share of under-130% FPL population
51670,"Hopewell city, VA",VA,22729,6098,9227,2321.0,2010.0,724,FNS state total allocated by share of under-130% FPL population
12133,"Washington County, FL",FL,22900,4976,8574,1154.0,1506.0,721,FNS state total allocated by share of under-130% FPL population
20111,"Lyon County, KS",KS,31194,6674,11069,873.0,1976.0,720,FNS state total allocated by share of under-130% FPL population
47047,"Fayette County, TN",TN,42807,6750,10726,1663.0,1859.0,718,FNS state total allocated by share of under-130% FPL population
21161,"Mason County, KY",KY,16675,4347,6875,1467.0,1560.0,717,FNS state total allocated by share of under-130% FPL population
22071,"Orleans Parish, LA",LA,358660,102791,145947,28835.0,35297.0,717,FNS state total allocated by share of under-130% FPL population
20057,"Ford County, KS",KS,33089,6625,12640,870.0,1495.0,715,FNS state total allocated by share of under-130% FPL population
21119,"Knott County, KY",KY,13341,4324,6668,1289.0,1262.0,713,FNS state total allocated by share of under-130% FPL population
20035,"Cowley County, KS",KS,32118,6603,11729,1556.0,1967.0,712,FNS state total allocated by share of under-130% FPL population
20051,"Ellis County, KS",KS,27466,6595,9991,736.0,2353.0,712,FNS state total allocated by share of under-130% FPL population
06015,"Del Norte County, CA",CA,24745,5141,8674,2171.0,1310.0,711,FNS state total allocated by share of under-130% FPL population
16039,"Elmore County, ID",ID,28062,4832,9117,858.0,1053.0,710,FNS state total allocated by share of under-130% FPL population
16051,"Jefferson County, ID",ID,32974,4823,9743,762.0,1097.0,709,FNS state total allocated by share of under-130% FPL population
47151,"Scott County, TN",TN,21696,6668,10746,1973.0,2184.0,709,FNS state total allocated by share of under-130% FPL population
48123,"DeWitt County, TX",TX,18199,3979,7003,818.0,1330.0,709,FNS state total allocated by share of under-130% FPL population
21003,"Allen County, KY",KY,20974,4264,7171,1131.0,962.0,703,FNS state total allocated by share of under-130% FPL population
37019,"Brunswick County, NC",NC,151157,20907,37147,5908.0,6660.0,703,FNS state total allocated by share of under-130% FPL population
21097,"Harrison County, KY",KY,18863,4256,6419,1157.0,1283.0,702,FNS state total allocated by share of under-130% FPL population
27163,"Washington County, MN",MN,273029,19503,37600,4312.0,5816.0,702,FNS state total allocated by share of under-130% FPL population
28135,"Tallahatchie County, MS",MS,11163,3598,5902,990.0,1029.0,702,FNS state total allocated by share of under-130% FPL population
51167,"Russell County, VA",VA,25284,5910,10228,2331.0,1745.0,702,FNS state total allocated by share of under-130% FPL population
29187,"St. Francois County, MO",MO,61571,14085,23806,3863.0,3859.0,700,FNS state total allocated by share of under-130% FPL population
36043,"Herkimer County, NY",NY,58755,10816,18063,3806.0,3472.0,698,FNS state total allocated by share of under-130% FPL population
13275,"Thomas County, GA",GA,45304,11074,16619,3820.0,3060.0,697,FNS state total allocated by share of under-130% FPL population
01109,"Pike County, AL",AL,30343,9142,13638,2135.0,2785.0,696,FNS state total allocated by share of under-130% FPL population
13277,"Tift County, GA",GA,39426,11059,17956,2763.0,2993.0,696,FNS state total allocated by share of under-130% FPL population
48365,"Panola County, TX",TX,22290,3905,6869,969.0,1104.0,696,FNS state total allocated by share of under-130% FPL population
13009,"Baldwin County, GA",GA,38274,11043,16036,2679.0,3731.0,695,FNS state total allocated by share of under-130% FPL population
48163,"Frio County, TX",TX,16306,3896,5829,1281.0,1183.0,695,FNS state total allocated by share of under-130% FPL population
47109,"McNairy County, TN",TN,25568,6528,10004,1510.0,1731.0,694,FNS state total allocated by share of under-130% FPL population
29071,"Franklin County, MO",MO,104520,13950,27045,3050.0,3652.0,693,FNS state total allocated by share of under-130% FPL population
47115,"Marion County, TN",TN,28966,6520,10807,1728.0,1976.0,693,FNS state total allocated by share of under-130% FPL population
34041,"Warren County, NJ",NJ,109443,11868,19728,3363.0,3883.0,692,FNS state total allocated by share of under-130% FPL population
51169,"Scott County, VA",VA,20701,5826,8544,2113.0,2150.0,692,FNS state total allocated by share of under-130% FPL population
21017,"Bourbon County, KY",KY,20061,4191,6326,1213.0,1481.0,691,FNS state total allocated by share of under-130% FPL population
51047,"Culpeper County, VA",VA,52594,5813,11058,1849.0,1451.0,691,FNS state total allocated by share of under-130% FPL population
48331,"Milam County, TX",TX,25039,3869,7749,1135.0,1341.0,690,FNS state total allocated by share of under-130% FPL population
