STATE,SA,SFC,EA_AD,EA_PEFD,EA_FID,EA_PEXD,EA_LID,EA_AM,SCH1920,SCH1920_YN,SCH2021,SCH2021_YN,CC2021,CC2021_YN,SUSCH2021,SUSCH2021_YN,SUCC2021,SUCC2021_YN,SCH2122,SCH2122_YN,CC2122,CC2122_YN,SUSCH2122,SUSCH2122_YN,SUCC2122,SUCC2122_YN,SCH2223,SCH2223_YN,CC2223,CC2223_YN,SUSCH2223,SUSCH2223_YN,SUCC2223,SUCC2223_YN,TSCC_ST,TSCC_EX,SATLW_Q1,WIRI_ST,WIRI_EX,WFFI_ST,WFFI_EX,PESI_ST,PESI_EX,ECP_ST,ECP_EX,APR_ST,APR_EX,PRRH_ST,PRRH_EX
Kansas,KS,20,  4/2/2020, 4/11/2020, 4/11/2020, 2/28/2023, 3/31/2023,95, 4/25/2020,1, 4/23/2021,1, 4/23/2021,1,  7/9/2021,1,  7/9/2021,1,,0, 7/15/2022,1, 7/15/2022,1, 7/15/2022,1,,0, 4/21/2023,1, 8/16/2023,1,,0,,,0,,,,,,,,,,,,
Wisconsin,WI,55,  4/1/2020, 4/11/2020, 4/11/2020, 2/28/2023,  4/8/2023,95, 4/22/2020,1,  2/8/2021,1, 4/28/2021,1, 6/10/2021,1, 6/10/2021,1, 12/2/2021,1, 4/22/2022,1,  6/9/2022,1,  6/9/2022,1,12/12/2022,1,,0, 2/15/2023,1,,0,,,1,10/12/2020, 6/30/2021,,,,,10/01/2020, 6/30/2021, 10/1/2020, 6/30/2021,,
Oregon,OR,41,  4/6/2020, 4/10/2020, 4/10/2020, 2/28/2023,  3/1/2023,95, 4/29/2020,1,  5/7/2021,1,,0, 8/18/2021,1, 8/18/2021,1,,0,  8/4/2022,1,10/25/2022,1,10/25/2022,1,,0,  6/1/2023,1, 6/28/2023,1,,0, 4/13/2020, 7/31/2020,1, 10/1/2020, 6/30/2021,,,  4/1/2021, 6/30/2021, 10/1/2020, 6/30/2021,,,,
Maine,ME,23, 3/28/2020, 4/10/2020, 4/10/2020, 2/28/2023, 2/10/2023,95,  5/5/2020,1, 4/22/2021,1, 4/22/2021,1, 6/16/2021,1, 6/16/2021,1,  4/7/2022,1, 8/19/2022,1,  9/1/2022,1,  9/1/2022,1, 6/26/2023,1, 6/26/2023,1, 6/26/2023,1,,0,,,1, 10/1/2020, 6/30/2021,,,,,,,,,,
District of Columbia,DC,11,  4/1/2020,  4/3/2020,  4/3/2020, 2/28/2023, 2/28/2023,95, 5/19/2020,1, 3/22/2021,1, 3/22/2021,1, 7/26/2021,1, 7/26/2021,1,,0, 6/29/2022,1,  7/1/2022,1,  7/1/2022,1,,0, 4/10/2023,1, 4/18/2023,1,,0,,,1, 10/4/2020, 6/30/2021,,,,, 10/1/2020, 6/30/2021, 10/1/2020, 6/30/2021,,
Colorado,CO,8,  4/2/2020,  4/2/2020,  4/6/2020, 2/28/2023, 2/24/2023,95, 4/23/2020,1, 4/12/2021,1, 5/28/2021,1,  8/4/2021,1,  8/4/2021,1, 1/26/2022,1, 3/24/2022,1,  6/9/2022,1,  6/9/2022,1,,0,,0, 4/27/2023,1,,0, 4/10/2020, 8/31/2020,1,12/15/2020, 6/30/2021, 10/3/2020, 6/30/2021, 10/3/2020, 6/30/2021, 11/1/2020,12/31/2020, 11/1/2020, 6/30/2021,,
North Carolina,NC,37, 3/27/2020,  4/1/2020,  4/1/2020, 2/28/2023,  3/3/2023,95, 4/16/2020,1,  2/1/2021,1, 3/24/2021,1, 5/17/2021,1, 5/17/2021,1,11/15/2021,1,,0,  6/9/2022,1,  6/9/2022,1,  1/9/2023,1,  1/9/2023,1, 3/21/2023,1,,0, 4/13/2020, 5/31/2021,0,12/26/2020, 6/30/2021,10/26/2020, 6/30/2021,,, 11/1/2020, 6/30/2021,,,,
Illinois,IL,17,  4/1/2020,  4/1/2020,  4/1/2020, 2/28/2023,  3/1/2023,95, 4/17/2020,1, 1/15/2021,1, 6/10/2021,1, 7/28/2021,1, 7/28/2021,1, 9/21/2022,1, 5/17/2022,1, 6/29/2022,1, 6/29/2022,1, 6/14/2023,1,,0, 4/21/2023,1,,0,,,1,10/13/2020, 6/30/2021,10/13/2020,12/31/2020,,, 10/1/2020, 2/28/2021,10/13/2020, 6/30/2021,,
California,CA,6, 3/30/2020,  4/1/2020, 4/10/2020, 2/28/2023, 5/20/2023,95, 4/23/2020,1,  6/3/2021,1,  5/4/2021,1, 7/22/2021,1, 7/22/2021,1,  8/2/2022,1, 7/12/2022,1, 7/29/2022,1, 7/29/2022,1, 7/19/2023,1, 3/28/2023,1, 4/10/2023,1,,0, 4/21/2020, 8/31/2020,1,10/21/2020, 6/30/2021,10/21/2020, 6/30/2021,,,,,,,,
Maryland,MD,24,  4/1/2020, 3/31/2020,  4/1/2020, 2/28/2023, 2/23/2023,95, 4/28/2020,1, 4/27/2021,1, 4/27/2021,1, 7/15/2021,1, 7/15/2021,1, 4/26/2022,1, 8/30/2022,1, 6/24/2022,1, 6/24/2022,1, 8/24/2023,1, 5/15/2023,1, 3/29/2023,1,,0, 4/13/2020, 5/31/2021,1,10/12/2020, 6/30/2021,10/12/2020, 6/30/2021,10/12/2020, 6/30/2021, 10/1/2020, 6/30/2021,,,  4/1/2021,12/31/2021
