state_fips,statename,yearmonth,bbce,cap,vehexclall,bbce_inclmt,call_any,oapp,reportsimple,ebtissuance,transben,outreach,faceini,facerec,fingerprint,households,persons,issuance
1,Alabama,200206,0.0,0,1.0,-9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,173389.0,444272.0,34548429.0
1,Alabama,200207,0.0,0,1.0,-9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,174540.0,447288.0,34703630.0
1,Alabama,200208,0.0,0,1.0,-9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,177063.0,454318.0,35402262.0
1,Alabama,200209,0.0,0,1.0,-9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,178220.0,457102.0,35672456.0
1,Alabama,200210,0.0,0,1.0,-9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,180269.0,461207.0,38134067.0
1,Alabama,200211,0.0,0,1.0,-9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,181577.0,464824.0,38446118.0
1,Alabama,200212,0.0,0,1.0,-9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,183218.0,468417.0,38648163.0
1,Alabama,200301,0.0,0,1.0,-9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,183065.0,466917.0,37889241.0
1,Alabama,200302,0.0,0,1.0,-9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,182735.0,465590.0,38235760.0
1,Alabama,200303,0.0,0,1.0,-9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,183396.0,466835.0,38523157.0
1,Alabama,200304,0.0,0,1.0,-9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,183819.0,468559.0,38625935.0
1,Alabama,200305,0.0,0,1.0,-9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,184957.0,471574.0,38947731.0
1,Alabama,200306,0.0,0,1.0,-9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,186371.0,475345.0,38944167.0
1,Alabama,200307,0.0,0,1.0,-9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,188695.0,481437.0,39556921.0
1,Alabama,200308,0.0,0,1.0,-9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,190366.0,485556.0,39961810.0
1,Alabama,200309,0.0,0,1.0,-9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,191867.0,488534.0,40210735.0
1,Alabama,200310,0.0,0,1.0,-9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,194217.0,493708.0,41481822.0
1,Alabama,200311,0.0,0,1.0,-9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,194836.0,494375.0,41462109.0
1,Alabama,200312,0.0,0,1.0,-9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,196819.0,498502.0,41738930.0
1,Alabama,200401,0.0,0,1.0,-9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,195450.0,493167.0,40721627.0
1,Alabama,200402,0.0,0,1.0,-9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,194754.0,490277.0,40871252.0
1,Alabama,200403,0.0,0,1.0,-9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,196280.0,493569.0,41307414.0
1,Alabama,200404,0.0,0,1.0,-9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,196049.0,492963.0,41307370.0
1,Alabama,200405,0.0,0,1.0,-9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,196225.0,494003.0,41557711.0
1,Alabama,200406,0.0,0,1.0,-9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,197350.0,496834.0,41473438.0
1,Alabama,200407,0.0,0,1.0,-9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,198213.0,498645.0,41937984.0
1,Alabama,200408,0.0,0,1.0,-9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,200701.0,505031.0,42320786.0
1,Alabama,200409,0.0,0,1.0,-9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,205953.0,520022.0,56423751.0
1,Alabama,200410,0.0,0,1.0,-9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,234819.0,592653.0,72263438.0
1,Alabama,200411,0.0,0,1.0,-9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,210937.0,531698.0,48587096.0
1,Alabama,200412,0.0,0,1.0,-9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,213012.0,535678.0,48901962.0
1,Alabama,200501,0.0,0,1.0,-9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,212363.0,532858.0,47333331.0
1,Alabama,200502,0.0,0,1.0,-9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,210037.0,526276.0,46897599.0
1,Alabama,200503,0.0,0,1.0,-9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,212002.0,530652.0,47509770.0
1,Alabama,200504,0.0,0,1.0,-9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,212308.0,531326.0,47409524.0
1,Alabama,200505,0.0,0,1.0,-9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,213448.0,533982.0,47605266.0
1,Alabama,200506,0.0,0,1.0,-9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,215122.0,537897.0,47874374.0
1,Alabama,200507,0.0,0,1.0,-9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,215987.0,539892.0,48188355.0
1,Alabama,200508,0.0,0,1.0,-9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,217016.0,541754.0,48318283.0
1,Alabama,200509,0.0,0,1.0,-9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,298527.0,768490.0,65201011.0
1,Alabama,200510,0.0,0,1.0,-9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,240834.0,605970.0,62475741.0
1,Alabama,200511,0.0,0,1.0,-9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,224853.0,558289.0,51168735.0
1,Alabama,200512,0.0,0,1.0,-9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,224311.0,557047.0,50726540.0
1,Alabama,200601,0.0,0,1.0,-9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,217718.0,539944.0,47256259.0
1,Alabama,200602,0.0,0,1.0,-9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,215640.0,533914.0,47250906.0
1,Alabama,200603,0.0,0,1.0,-9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,215718.0,533667.0,47339919.0
1,Alabama,200604,0.0,0,1.0,-9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,214414.0,530806.0,47101770.0
1,Alabama,200605,0.0,0,1.0,-9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,215687.0,533854.0,47360358.0
1,Alabama,200606,0.0,0,1.0,-9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,217390.0,538517.0,47812201.0
1,Alabama,200607,0.0,0,1.0,-9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,217085.0,538050.0,47934327.0
1,Alabama,200608,0.0,0,1.0,-9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,219933.0,544429.0,48558201.0
1,Alabama,200609,0.0,0,1.0,-9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,220559.0,545721.0,48713580.0
1,Alabama,200610,0.0,0,1.0,-9.0,0.0,0.0,1.0,1.0,0.0,6.25,0.0,0.0,0,222004.0,548945.0,51187361.0
1,Alabama,200611,0.0,0,1.0,-9.0,0.0,0.0,1.0,1.0,0.0,6.25,0.0,0.0,0,222706.0,550891.0,51163845.0
1,Alabama,200612,0.0,0,1.0,-9.0,0.0,0.0,1.0,1.0,0.0,6.25,0.0,0.0,0,222653.0,550777.0,51203600.0
1,Alabama,200701,0.0,0,1.0,-9.0,0.0,0.0,1.0,1.0,0.0,6.25,0.0,0.0,0,221074.0,545774.0,49621426.0
1,Alabama,200702,0.0,0,1.0,-9.0,0.0,0.0,1.0,1.0,0.0,6.25,0.0,0.0,0,218683.0,539319.0,49093288.0
1,Alabama,200703,0.0,0,1.0,-9.0,0.0,0.0,1.0,1.0,0.0,6.25,0.0,0.0,0,218428.0,538113.0,49561825.0
1,Alabama,200704,0.0,0,1.0,-9.0,0.0,0.0,1.0,1.0,0.0,6.25,0.0,0.0,0,217768.0,536577.0,48870590.0
1,Alabama,200705,0.0,0,1.0,-9.0,0.0,0.0,1.0,1.0,0.0,6.25,0.0,0.0,0,219778.0,541430.0,49600390.0
1,Alabama,200706,0.0,0,1.0,-9.0,0.0,0.0,1.0,1.0,0.0,6.25,0.0,0.0,0,221904.0,547017.0,50243246.0
1,Alabama,200707,0.0,0,1.0,-9.0,0.0,0.0,1.0,1.0,0.0,6.25,0.0,0.0,0,223386.0,550381.0,50596377.0
1,Alabama,200708,0.0,0,1.0,-9.0,0.0,0.0,1.0,1.0,0.0,6.25,0.0,0.0,0,220989.0,551802.0,50008673.0
1,Alabama,200709,0.0,0,1.0,-9.0,0.0,0.0,1.0,1.0,0.0,6.25,0.0,0.0,0,221633.0,550434.0,50262514.0
1,Alabama,200710,0.0,0,1.0,-9.0,0.0,0.0,1.0,1.0,0.0,0.024,0.0,0.0,0,224248.0,556247.0,54206235.0
1,Alabama,200711,0.0,0,1.0,-9.0,0.0,0.0,1.0,1.0,0.0,0.024,0.0,0.0,0,225588.0,559364.0,54336165.0
